Word Index,Word,Start Time (s),End Time (s),Duration (s),Start Timestamp,End Timestamp,Character Count
1,This,0.000,0.540,0.540,00:00.000,00:00.540,4
2,is,0.540,0.880,0.340,00:00.540,00:00.880,2
3,day,0.880,1.100,0.220,00:00.880,00:01.100,3
4,45,1.100,1.860,0.760,00:01.100,00:01.860,2
5,of,1.860,2.220,0.360,00:01.860,00:02.220,2
6,learning,2.220,2.500,0.280,00:02.220,00:02.500,8
7,National,2.500,3.060,0.560,00:02.500,00:03.060,8
8,Railway,3.060,3.580,0.520,00:03.060,00:03.580,7
9,System,3.580,3.960,0.380,00:03.580,00:03.960,6
10,in,3.960,4.260,0.300,00:03.960,00:04.260,2
11,Java,4.260,4.560,0.300,00:04.260,00:04.560,4
12,from,4.560,5.020,0.460,00:04.560,00:05.020,4
13,first,5.020,5.400,0.380,00:05.020,00:05.400,5
14,principles.,5.400,5.940,0.540,00:05.400,00:05.940,11
15,Last,6.420,7.040,0.620,00:06.420,00:07.040,4
16,day,7.040,7.320,0.280,00:07.040,00:07.320,3
17,we,7.320,7.500,0.180,00:07.320,00:07.500,2
18,learned,7.500,7.780,0.280,00:07.500,00:07.780,7
19,how,7.780,8.020,0.240,00:07.780,00:08.020,3
20,method,8.020,8.360,0.340,00:08.020,00:08.360,6
21,overloading,8.360,9.220,0.860,00:08.360,00:09.220,11
22,lets,9.220,9.460,0.240,00:09.220,00:09.460,4
23,one,9.460,9.800,0.340,00:09.460,00:09.800,3
24,method,9.800,10.200,0.400,00:09.800,00:10.200,6
25,name,10.200,10.480,0.280,00:10.200,00:10.480,4
26,serve,10.480,10.880,0.400,00:10.480,00:10.880,5
27,multiple,10.880,11.400,0.520,00:10.880,00:11.400,8
28,parameter,11.400,12.000,0.600,00:11.400,00:12.000,9
29,"combinations,",12.000,12.660,0.660,00:12.000,00:12.660,13
30,resolved,13.220,13.600,0.380,00:13.220,00:13.600,8
31,at,13.600,13.820,0.220,00:13.600,00:13.820,2
32,compile,13.820,14.100,0.280,00:13.820,00:14.100,7
33,time.,14.100,14.540,0.440,00:14.100,00:14.540,5
34,Now,15.200,15.520,0.320,00:15.200,00:15.520,3
35,consider,15.520,15.920,0.400,00:15.520,00:15.920,8
36,this.,15.920,16.320,0.400,00:15.920,00:16.320,5
37,The,16.940,17.080,0.140,00:16.940,00:17.080,3
38,Fair,17.080,17.380,0.300,00:17.080,00:17.380,4
39,Engine,17.380,17.800,0.420,00:17.380,00:17.800,6
40,holds,17.800,18.260,0.460,00:17.800,00:18.260,5
41,a,18.260,18.500,0.240,00:18.260,00:18.500,1
42,Fair,18.500,18.820,0.320,00:18.500,00:18.820,4
43,Calculator,18.820,19.500,0.680,00:18.820,00:19.500,10
44,reference.,19.500,19.860,0.360,00:19.500,00:19.860,10
45,At,20.340,20.740,0.400,00:20.340,00:20.740,2
46,"runtime,",20.740,21.180,0.440,00:20.740,00:21.180,8
47,that,21.640,21.900,0.260,00:21.640,00:21.900,4
48,reference,21.900,22.300,0.400,00:21.900,00:22.300,9
49,points,22.300,22.580,0.280,00:22.300,00:22.580,6
50,to,22.580,22.860,0.280,00:22.580,00:22.860,2
51,an,22.860,23.040,0.180,00:22.860,00:23.040,2
52,Express,23.040,23.480,0.440,00:23.040,00:23.480,7
53,Fair,23.480,23.900,0.420,00:23.480,00:23.900,4
54,Calculator,23.900,24.480,0.580,00:23.900,00:24.480,10
55,object.,24.480,24.860,0.380,00:24.480,00:24.860,7
56,The,25.360,25.840,0.480,00:25.360,00:25.840,3
57,Calling,25.840,26.140,0.300,00:25.840,00:26.140,7
58,Code,26.140,26.440,0.300,00:26.140,00:26.440,4
59,only,26.440,26.900,0.460,00:26.440,00:26.900,4
60,knows,26.900,27.200,0.300,00:26.900,00:27.200,5
61,it,27.200,27.400,0.200,00:27.200,00:27.400,2
62,is,27.400,27.520,0.120,00:27.400,00:27.520,2
63,a,27.520,27.600,0.080,00:27.520,00:27.600,1
64,Fair,27.600,27.880,0.280,00:27.600,00:27.880,4
65,Calculator.,27.880,28.520,0.640,00:27.880,00:28.520,11
66,It,28.520,29.100,0.580,00:28.520,00:29.100,2
67,does,29.100,29.220,0.120,00:29.100,00:29.220,4
68,not,29.220,29.460,0.240,00:29.220,00:29.460,3
69,know,29.460,29.680,0.220,00:29.460,00:29.680,4
70,the,29.680,29.840,0.160,00:29.680,00:29.840,3
71,specific,29.840,30.340,0.500,00:29.840,00:30.340,8
72,type.,30.340,30.760,0.420,00:30.340,00:30.760,5
73,When,31.260,31.820,0.560,00:31.260,00:31.820,4
74,Calculator,31.820,32.440,0.620,00:31.820,00:32.440,10
75,is,32.440,32.620,0.180,00:32.440,00:32.620,2
76,"called,",32.620,32.840,0.220,00:32.620,00:32.840,7
77,Java,33.480,33.640,0.160,00:33.480,00:33.640,4
78,looks,33.640,33.980,0.340,00:33.640,00:33.980,5
79,at,33.980,34.140,0.160,00:33.980,00:34.140,2
80,the,34.140,34.280,0.140,00:34.140,00:34.280,3
81,actual,34.280,34.780,0.500,00:34.280,00:34.780,6
82,object,34.780,35.240,0.460,00:34.780,00:35.240,6
83,in,35.240,35.460,0.220,00:35.240,00:35.460,2
84,"memory,",35.460,35.760,0.300,00:35.460,00:35.760,7
85,not,36.100,36.380,0.280,00:36.100,00:36.380,3
86,the,36.380,36.560,0.180,00:36.380,00:36.560,3
87,reference,36.560,36.840,0.280,00:36.560,00:36.840,9
88,type.,36.840,37.160,0.320,00:36.840,00:37.160,5
89,It,37.720,37.920,0.200,00:37.720,00:37.920,2
90,finds,37.920,38.260,0.340,00:37.920,00:38.260,5
91,Express,38.260,38.820,0.560,00:38.260,00:38.820,7
92,Fair,38.820,39.160,0.340,00:38.820,00:39.160,4
93,Calculator.,39.160,39.720,0.560,00:39.160,00:39.720,11
94,It,40.160,40.420,0.260,00:40.160,00:40.420,2
95,runs,40.420,40.660,0.240,00:40.420,00:40.660,4
96,that,40.660,40.960,0.300,00:40.660,00:40.960,4
97,version,40.960,41.380,0.420,00:40.960,00:41.380,7
98,of,41.380,41.520,0.140,00:41.380,00:41.520,2
99,Calculator.,41.520,42.060,0.540,00:41.520,00:42.060,11
100,This,42.580,43.200,0.620,00:42.580,00:43.200,4
101,is,43.200,43.440,0.240,00:43.200,00:43.440,2
102,runtime,43.440,43.920,0.480,00:43.440,00:43.920,7
103,polymorphism.,43.920,44.800,0.880,00:43.920,00:44.800,13
104,The,45.400,45.640,0.240,00:45.400,00:45.640,3
105,method,45.640,45.900,0.260,00:45.640,00:45.900,6
106,to,45.900,46.080,0.180,00:45.900,00:46.080,2
107,execute,46.080,46.460,0.380,00:46.080,00:46.460,7
108,is,46.460,46.760,0.300,00:46.460,00:46.760,2
109,not,46.760,47.020,0.260,00:46.760,00:47.020,3
110,decided,47.020,47.500,0.480,00:47.020,00:47.500,7
111,when,47.500,47.680,0.180,00:47.500,00:47.680,4
112,the,47.680,47.800,0.120,00:47.680,00:47.800,3
113,code,47.800,48.000,0.200,00:47.800,00:48.000,4
114,is,48.000,48.160,0.160,00:48.000,00:48.160,2
115,compiled.,48.160,48.620,0.460,00:48.160,00:48.620,9
116,It,49.220,49.400,0.180,00:49.220,00:49.400,2
117,is,49.400,49.500,0.100,00:49.400,00:49.500,2
118,decided,49.500,49.840,0.340,00:49.500,00:49.840,7
119,when,49.840,50.100,0.260,00:49.840,00:50.100,4
120,the,50.100,50.200,0.100,00:50.100,00:50.200,3
121,program,50.200,50.580,0.380,00:50.200,00:50.580,7
122,is,50.580,50.800,0.220,00:50.580,00:50.800,2
123,"running,",50.800,51.200,0.400,00:50.800,00:51.200,8
124,based,51.640,52.000,0.360,00:51.640,00:52.000,5
125,on,52.000,52.120,0.120,00:52.000,00:52.120,2
126,what,52.120,52.280,0.160,00:52.120,00:52.280,4
127,object,52.280,52.620,0.340,00:52.280,00:52.620,6
128,actually,52.620,53.300,0.680,00:52.620,00:53.300,8
129,lives,53.300,53.620,0.320,00:53.300,00:53.620,5
130,at,53.620,53.800,0.180,00:53.620,00:53.800,2
131,that,53.800,53.960,0.160,00:53.800,00:53.960,4
132,reference.,53.960,54.320,0.360,00:53.960,00:54.320,10
133,This,55.020,55.580,0.560,00:55.020,00:55.580,4
134,is,55.580,55.720,0.140,00:55.580,00:55.720,2
135,why,55.720,55.940,0.220,00:55.720,00:55.940,3
136,you,55.940,56.080,0.140,00:55.940,00:56.080,3
137,can,56.080,56.240,0.160,00:56.080,00:56.240,3
138,swap,56.240,56.620,0.380,00:56.240,00:56.620,4
139,Express,56.620,57.220,0.600,00:56.620,00:57.220,7
140,Fair,57.220,57.480,0.260,00:57.220,00:57.480,4
141,Calculator,57.480,58.080,0.600,00:57.480,00:58.080,10
142,from,58.080,58.360,0.280,00:58.080,00:58.360,4
143,Metro,58.360,58.800,0.440,00:58.360,00:58.800,5
144,Fair,58.800,59.040,0.240,00:58.800,00:59.040,4
145,Calculator,59.040,59.640,0.600,00:59.040,00:59.640,10
146,without,59.640,60.180,0.540,00:59.640,01:00.180,7
147,changing,60.180,60.620,0.440,01:00.180,01:00.620,8
148,a,60.620,60.820,0.200,01:00.620,01:00.820,1
149,single,60.820,61.200,0.380,01:00.820,01:01.200,6
150,line,61.200,61.540,0.340,01:01.200,01:01.540,4
151,of,61.540,61.680,0.140,01:01.540,01:01.680,2
152,Calling,61.680,61.940,0.260,01:01.680,01:01.940,7
153,Code.,61.940,62.220,0.280,01:01.940,01:02.220,5
154,The,62.860,63.080,0.220,01:02.860,01:03.080,3
155,reference,63.080,63.420,0.340,01:03.080,01:03.420,9
156,stays,63.420,63.700,0.280,01:03.420,01:03.700,5
157,the,63.700,63.900,0.200,01:03.700,01:03.900,3
158,same.,63.900,64.140,0.240,01:03.900,01:04.140,5
159,The,64.700,64.840,0.140,01:04.700,01:04.840,3
160,behavior,64.840,65.240,0.400,01:04.840,01:05.240,8
161,changes,65.240,65.680,0.440,01:05.240,01:05.680,7
162,entirely.,65.680,66.420,0.740,01:05.680,01:06.420,9
163,The,67.420,67.700,0.280,01:07.420,01:07.700,3
164,mechanism,67.700,68.040,0.340,01:07.700,01:08.040,9
165,that,68.040,68.340,0.300,01:08.040,01:08.340,4
166,makes,68.340,68.560,0.220,01:08.340,01:08.560,5
167,this,68.560,68.780,0.220,01:08.560,01:08.780,4
168,possible,68.780,69.280,0.500,01:08.780,01:09.280,8
169,is,69.280,69.520,0.240,01:09.280,01:09.520,2
170,the,69.520,69.640,0.120,01:09.520,01:09.640,3
171,connection,69.640,69.960,0.320,01:09.640,01:09.960,10
172,between,69.960,70.420,0.460,01:09.960,01:10.420,7
173,the,70.420,70.600,0.180,01:10.420,01:10.600,3
174,parent,70.600,70.940,0.340,01:10.600,01:10.940,6
175,reference,70.940,71.320,0.380,01:10.940,01:11.320,9
176,and,71.320,71.580,0.260,01:11.320,01:11.580,3
177,the,71.580,71.700,0.120,01:11.580,01:11.700,3
178,child,71.700,72.020,0.320,01:11.700,01:12.020,5
179,object.,72.020,72.460,0.440,01:12.020,01:12.460,7
180,That,73.080,73.360,0.280,01:13.080,01:13.360,4
181,connection,73.360,73.700,0.340,01:13.360,01:13.700,10
182,has,73.700,73.980,0.280,01:13.700,01:13.980,3
183,a,73.980,74.100,0.120,01:13.980,01:14.100,1
184,name.,74.100,74.340,0.240,01:14.100,01:14.340,5
185,It,74.880,75.000,0.120,01:14.880,01:15.000,2
186,is,75.000,75.120,0.120,01:15.000,01:15.120,2
187,called,75.120,75.300,0.180,01:15.120,01:15.300,6
188,upcasting.,75.300,76.060,0.760,01:15.300,01:16.060,10
189,And,76.580,76.780,0.200,01:16.580,01:16.780,3
190,that,76.780,77.020,0.240,01:16.780,01:17.020,4
191,is,77.020,77.180,0.160,01:17.020,01:17.180,2
192,exactly,77.180,77.640,0.460,01:17.180,01:17.640,7
193,what,77.640,77.960,0.320,01:17.640,01:17.960,4
194,we,77.960,78.080,0.120,01:17.960,01:18.080,2
195,build,78.080,78.260,0.180,01:18.080,01:18.260,5
196,next.,78.260,78.600,0.340,01:18.260,01:18.600,5
