Word Index,Word,Start Time (s),End Time (s),Duration (s),Start Timestamp,End Timestamp,Character Count
1,This,0.000,0.520,0.520,00:00.000,00:00.520,4
2,is,0.520,0.900,0.380,00:00.520,00:00.900,2
3,day,0.900,1.160,0.260,00:00.900,00:01.160,3
4,47,1.160,2.120,0.960,00:01.160,00:02.120,2
5,of,2.120,2.480,0.360,00:02.120,00:02.480,2
6,learning,2.480,2.820,0.340,00:02.480,00:02.820,8
7,National,2.820,3.440,0.620,00:02.820,00:03.440,8
8,Railway,3.440,3.980,0.540,00:03.440,00:03.980,7
9,System,3.980,4.400,0.420,00:03.980,00:04.400,6
10,in,4.400,4.560,0.160,00:04.400,00:04.560,2
11,Java,4.560,4.860,0.300,00:04.560,00:04.860,4
12,from,4.860,5.380,0.520,00:04.860,00:05.380,4
13,first,5.380,5.840,0.460,00:05.380,00:05.840,5
14,principles.,5.840,6.500,0.660,00:05.840,00:06.500,11
15,Last,6.960,7.520,0.560,00:06.960,00:07.520,4
16,"day,",7.520,7.900,0.380,00:07.520,00:07.900,4
17,we,8.100,8.180,0.080,00:08.100,00:08.180,2
18,learnt,8.180,8.440,0.260,00:08.180,00:08.440,6
19,how,8.440,8.740,0.300,00:08.440,00:08.740,3
20,upcasting,8.740,9.540,0.800,00:08.740,00:09.540,9
21,stores,9.540,10.000,0.460,00:09.540,00:10.000,6
22,a,10.000,10.300,0.300,00:10.000,00:10.300,1
23,child,10.300,10.780,0.480,00:10.300,00:10.780,5
24,object,10.780,11.180,0.400,00:10.780,00:11.180,6
25,in,11.180,11.520,0.340,00:11.180,00:11.520,2
26,a,11.520,11.620,0.100,00:11.520,00:11.620,1
27,parent,11.620,12.000,0.380,00:11.620,00:12.000,6
28,-type,12.000,12.340,0.340,00:12.000,00:12.340,5
29,"reference,",12.340,12.860,0.520,00:12.340,00:12.860,10
30,narrowing,13.440,14.080,0.640,00:13.440,00:14.080,9
31,what,14.080,14.280,0.200,00:14.080,00:14.280,4
32,is,14.280,14.420,0.140,00:14.280,00:14.420,2
33,accessible,14.420,14.880,0.460,00:14.420,00:14.880,10
34,through,14.880,15.240,0.360,00:14.880,00:15.240,7
35,it.,15.240,15.500,0.260,00:15.240,00:15.500,3
36,Now,16.240,16.680,0.440,00:16.240,00:16.680,3
37,the,16.680,16.920,0.240,00:16.680,00:16.920,3
38,Premium,16.920,17.420,0.500,00:16.920,00:17.420,7
39,Services,17.420,17.980,0.560,00:17.420,00:17.980,8
40,module,17.980,18.480,0.500,00:17.980,00:18.480,6
41,needs,18.480,18.940,0.460,00:18.480,00:18.940,5
42,the,18.940,19.260,0.320,00:18.940,00:19.260,3
43,Express,19.260,19.740,0.480,00:19.260,00:19.740,7
44,-specific,19.740,20.260,0.520,00:19.740,00:20.260,9
45,behaviour,20.260,20.860,0.600,00:20.260,00:20.860,9
46,back.,20.860,21.260,0.400,00:20.860,00:21.260,5
47,The,22.000,22.260,0.260,00:22.000,00:22.260,3
48,reference,22.260,22.620,0.360,00:22.260,00:22.620,9
49,is,22.620,23.000,0.380,00:22.620,00:23.000,2
50,Train,23.000,23.400,0.400,00:23.000,00:23.400,5
51,T.,23.400,23.760,0.360,00:23.400,00:23.760,2
52,The,24.280,24.560,0.280,00:24.280,00:24.560,3
53,actual,24.560,24.920,0.360,00:24.560,00:24.920,6
54,object,24.920,25.340,0.420,00:24.920,00:25.340,6
55,in,25.340,25.580,0.240,00:25.340,00:25.580,2
56,memory,25.580,25.920,0.340,00:25.580,00:25.920,6
57,is,25.920,26.260,0.340,00:25.920,00:26.260,2
58,an,26.260,26.380,0.120,00:26.260,00:26.380,2
59,Express,26.380,26.820,0.440,00:26.380,00:26.820,7
60,train.,26.820,27.240,0.420,00:26.820,00:27.240,6
61,To,27.660,28.060,0.400,00:27.660,00:28.060,2
62,access,28.060,28.460,0.400,00:28.060,00:28.460,6
63,Express,28.460,29.120,0.660,00:28.460,00:29.120,7
64,-specific,29.120,29.540,0.420,00:29.120,00:29.540,9
65,"methods,",29.540,30.020,0.480,00:29.540,00:30.020,8
66,the,30.600,30.660,0.060,00:30.600,00:30.660,3
67,code,30.660,30.960,0.300,00:30.660,00:30.960,4
68,must,30.960,31.200,0.240,00:30.960,00:31.200,4
69,explicitly,31.200,32.020,0.820,00:31.200,00:32.020,10
70,tell,32.020,32.480,0.460,00:32.020,00:32.480,4
71,"Java,",32.480,32.860,0.380,00:32.480,00:32.860,5
72,treat,33.400,33.580,0.180,00:33.400,00:33.580,5
73,this,33.580,33.880,0.300,00:33.580,00:33.880,4
74,reference,33.880,34.260,0.380,00:33.880,00:34.260,9
75,as,34.260,34.640,0.380,00:34.260,00:34.640,2
76,an,34.640,34.780,0.140,00:34.640,00:34.780,2
77,Express,34.780,35.200,0.420,00:34.780,00:35.200,7
78,train.,35.200,35.580,0.380,00:35.200,00:35.580,6
79,Express,35.940,36.560,0.620,00:35.940,00:36.560,7
80,train,36.560,36.980,0.420,00:36.560,00:36.980,5
81,ET,36.980,37.500,0.520,00:36.980,00:37.500,2
82,equals,37.500,38.140,0.640,00:37.500,00:38.140,6
83,Express,38.140,38.800,0.660,00:38.140,00:38.800,7
84,train,38.800,39.220,0.420,00:38.800,00:39.220,5
85,T.,39.220,39.700,0.480,00:39.220,00:39.700,2
86,This,40.380,41.020,0.640,00:40.380,00:41.020,4
87,is,41.020,41.380,0.360,00:41.020,00:41.380,2
88,"downcasting,",41.380,42.260,0.880,00:41.380,00:42.260,12
89,an,42.680,42.940,0.260,00:42.680,00:42.940,2
90,explicit,42.940,43.500,0.560,00:42.940,00:43.500,8
91,cast,43.500,43.920,0.420,00:43.500,00:43.920,4
92,from,43.920,44.220,0.300,00:43.920,00:44.220,4
93,a,44.220,44.340,0.120,00:44.220,00:44.340,1
94,parent,44.340,44.700,0.360,00:44.340,00:44.700,6
95,-type,44.700,45.000,0.300,00:44.700,00:45.000,5
96,reference,45.000,45.500,0.500,00:45.000,00:45.500,9
97,back,45.500,46.020,0.520,00:45.500,00:46.020,4
98,to,46.020,46.260,0.240,00:46.020,00:46.260,2
99,a,46.260,46.340,0.080,00:46.260,00:46.340,1
100,specific,46.340,46.860,0.520,00:46.340,00:46.860,8
101,child,46.860,47.380,0.520,00:46.860,00:47.380,5
102,type.,47.380,47.800,0.420,00:47.380,00:47.800,5
103,But,48.200,48.900,0.700,00:48.200,00:48.900,3
104,there,48.900,49.260,0.360,00:48.900,00:49.260,5
105,is,49.260,49.680,0.420,00:49.260,00:49.680,2
106,a,49.680,49.840,0.160,00:49.680,00:49.840,1
107,risk.,49.840,50.240,0.400,00:49.840,00:50.240,5
108,If,50.840,51.020,0.180,00:50.840,00:51.020,2
109,T,51.020,51.320,0.300,00:51.020,00:51.320,1
110,does,51.320,51.580,0.260,00:51.320,00:51.580,4
111,not,51.580,51.740,0.160,00:51.580,00:51.740,3
112,actually,51.740,52.320,0.580,00:51.740,00:52.320,8
113,hold,52.320,52.700,0.380,00:52.320,00:52.700,4
114,an,52.700,52.900,0.200,00:52.700,00:52.900,2
115,Express,52.900,53.280,0.380,00:52.900,00:53.280,7
116,train,53.280,53.640,0.360,00:53.280,00:53.640,5
117,in,53.640,53.900,0.260,00:53.640,00:53.900,2
118,"memory,",53.900,54.260,0.360,00:53.900,00:54.260,7
119,if,54.260,54.800,0.540,00:54.260,00:54.800,2
120,it,54.800,54.960,0.160,00:54.800,00:54.960,2
121,holds,54.960,55.180,0.220,00:54.960,00:55.180,5
122,a,55.180,55.380,0.200,00:55.180,00:55.380,1
123,freight,55.380,55.660,0.280,00:55.380,00:55.660,7
124,"train,",55.660,56.080,0.420,00:55.660,00:56.080,6
125,Java,56.620,56.740,0.120,00:56.620,00:56.740,4
126,throws,56.740,57.200,0.460,00:56.740,00:57.200,6
127,a,57.200,57.420,0.220,00:57.200,00:57.420,1
128,class,57.420,57.700,0.280,00:57.420,00:57.700,5
129,cast,57.700,58.160,0.460,00:57.700,00:58.160,4
130,exception,58.160,58.800,0.640,00:58.160,00:58.800,9
131,at,58.800,59.100,0.300,00:58.800,00:59.100,2
132,"runtime,",59.100,59.460,0.360,00:59.100,00:59.460,8
133,not,60.080,60.340,0.260,01:00.080,01:00.340,3
134,at,60.340,60.480,0.140,01:00.340,01:00.480,2
135,compile,60.480,60.780,0.300,01:00.480,01:00.780,7
136,"time,",60.780,61.160,0.380,01:00.780,01:01.160,5
137,at,61.500,61.600,0.100,01:01.500,01:01.600,2
138,runtime.,61.600,62.060,0.460,01:01.600,01:02.060,8
139,The,62.680,62.900,0.220,01:02.680,01:02.900,3
140,application,62.900,63.340,0.440,01:02.900,01:03.340,11
141,crashes,63.340,63.900,0.560,01:03.340,01:03.900,7
142,in,63.900,64.260,0.360,01:03.900,01:04.260,2
143,production.,64.260,64.660,0.400,01:04.260,01:04.660,11
144,The,65.740,65.960,0.220,01:05.740,01:05.960,3
145,cast,65.960,66.280,0.320,01:05.960,01:06.280,4
146,itself,66.280,66.760,0.480,01:06.280,01:06.760,6
147,compiles,66.760,67.460,0.700,01:06.760,01:07.460,8
148,cleanly.,67.460,68.020,0.560,01:07.460,01:08.020,8
149,Java,68.540,68.760,0.220,01:08.540,01:08.760,4
150,cannot,68.760,69.100,0.340,01:08.760,01:09.100,6
151,verify,69.100,69.620,0.520,01:09.100,01:09.620,6
152,it,69.620,69.900,0.280,01:09.620,01:09.900,2
153,until,69.900,70.240,0.340,01:09.900,01:10.240,5
154,the,70.240,70.480,0.240,01:10.240,01:10.480,3
155,program,70.480,70.820,0.340,01:10.480,01:10.820,7
156,runs.,70.820,71.120,0.300,01:10.820,01:11.120,5
157,This,72.200,72.540,0.340,01:12.200,01:12.540,4
158,is,72.540,72.800,0.260,01:12.540,01:12.800,2
159,why,72.800,73.040,0.240,01:12.800,01:13.040,3
160,downcasting,73.040,73.740,0.700,01:13.040,01:13.740,11
161,is,73.740,74.080,0.340,01:13.740,01:14.080,2
162,never,74.080,74.500,0.420,01:14.080,01:14.500,5
163,done,74.500,74.720,0.220,01:14.500,01:14.720,4
164,blindly.,74.720,75.280,0.560,01:14.720,01:15.280,8
165,Before,75.860,76.320,0.460,01:15.860,01:16.320,6
166,"casting,",76.320,76.800,0.480,01:16.320,01:16.800,8
167,you,77.160,77.320,0.160,01:17.160,01:17.320,3
168,verify.,77.320,77.800,0.480,01:17.320,01:17.800,7
169,You,78.400,78.560,0.160,01:18.400,01:18.560,3
170,ask,78.560,78.880,0.320,01:18.560,01:18.880,3
171,"Java,",78.880,79.280,0.400,01:18.880,01:19.280,5
172,is,79.820,79.920,0.100,01:19.820,01:19.920,2
173,this,79.920,80.100,0.180,01:19.920,01:20.100,4
174,object,80.100,80.500,0.400,01:20.100,01:20.500,6
175,actually,80.500,81.160,0.660,01:20.500,01:21.160,8
176,what,81.160,81.460,0.300,01:21.160,01:21.460,4
177,I,81.460,81.580,0.120,01:21.460,01:21.580,1
178,think,81.580,81.820,0.240,01:21.580,01:21.820,5
179,it,81.820,82.020,0.200,01:21.820,01:22.020,2
180,is?,82.020,82.260,0.240,01:22.020,01:22.260,3
181,That,82.980,83.260,0.280,01:22.980,01:23.260,4
182,safety,83.260,83.660,0.400,01:23.260,01:23.660,6
183,check,83.660,84.100,0.440,01:23.660,01:24.100,5
184,has,84.100,84.420,0.320,01:24.100,01:24.420,3
185,a,84.420,84.560,0.140,01:24.420,01:24.560,1
186,name.,84.560,84.800,0.240,01:24.560,01:24.800,5
187,And,85.360,85.460,0.100,01:25.360,01:25.460,3
188,that,85.460,85.700,0.240,01:25.460,01:25.700,4
189,is,85.700,85.920,0.220,01:25.700,01:25.920,2
190,exactly,85.920,86.500,0.580,01:25.920,01:26.500,7
191,what,86.500,86.720,0.220,01:26.500,01:26.720,4
192,we,86.720,86.840,0.120,01:26.720,01:26.840,2
193,cover,86.840,87.100,0.260,01:26.840,01:27.100,5
194,in,87.100,87.320,0.220,01:27.100,01:27.320,2
195,the,87.320,87.440,0.120,01:27.320,01:27.440,3
196,next,87.440,87.720,0.280,01:27.440,01:27.720,4
197,part.,87.720,88.020,0.300,01:27.720,01:28.020,5
