Word Index,Word,Start Time (s),End Time (s),Duration (s),Start Timestamp,End Timestamp,Character Count
1,This,0.000,0.500,0.500,00:00.000,00:00.500,4
2,is,0.500,0.840,0.340,00:00.500,00:00.840,2
3,day,0.840,1.060,0.220,00:00.840,00:01.060,3
4,43,1.060,1.780,0.720,00:01.060,00:01.780,2
5,of,1.780,2.160,0.380,00:01.780,00:02.160,2
6,learning,2.160,2.420,0.260,00:02.160,00:02.420,8
7,national,2.420,2.980,0.560,00:02.420,00:02.980,8
8,railway,2.980,3.260,0.280,00:02.980,00:03.260,7
9,system,3.260,3.820,0.560,00:03.260,00:03.820,6
10,in,3.820,4.060,0.240,00:03.820,00:04.060,2
11,Java,4.060,4.380,0.320,00:04.060,00:04.380,4
12,from,4.380,4.800,0.420,00:04.380,00:04.800,4
13,first,4.800,5.140,0.340,00:04.800,00:05.140,5
14,principles.,5.140,5.660,0.520,00:05.140,00:05.660,11
15,Last,6.120,6.700,0.580,00:06.120,00:06.700,4
16,"day,",6.700,7.020,0.320,00:06.700,00:07.020,4
17,we,7.240,7.300,0.060,00:07.240,00:07.300,2
18,learned,7.300,7.520,0.220,00:07.300,00:07.520,7
19,how,7.520,7.680,0.160,00:07.520,00:07.680,3
20,the,7.680,7.820,0.140,00:07.680,00:07.820,3
21,object,7.820,8.220,0.400,00:07.820,00:08.220,6
22,class,8.220,8.600,0.380,00:08.220,00:08.600,5
23,silently,8.600,9.300,0.700,00:08.600,00:09.300,8
24,sits,9.300,9.720,0.420,00:09.300,00:09.720,4
25,at,9.720,9.940,0.220,00:09.720,00:09.940,2
26,the,9.940,10.060,0.120,00:09.940,00:10.060,3
27,top,10.060,10.360,0.300,00:10.060,00:10.360,3
28,of,10.360,10.580,0.220,00:10.360,00:10.580,2
29,every,10.580,11.080,0.500,00:10.580,00:11.080,5
30,class,11.080,11.400,0.320,00:11.080,00:11.400,5
31,"hierarchy,",11.400,11.880,0.480,00:11.400,00:11.880,10
32,giving,12.220,12.620,0.400,00:12.220,00:12.620,6
33,every,12.620,13.100,0.480,00:12.620,00:13.100,5
34,object,13.100,13.520,0.420,00:13.100,00:13.520,6
35,to,13.520,13.880,0.360,00:13.520,00:13.880,2
36,"string,",13.880,14.260,0.380,00:13.880,00:14.260,7
37,"equals,",14.640,14.960,0.320,00:14.640,00:14.960,7
38,and,15.220,15.320,0.100,00:15.220,00:15.320,3
39,hash,15.320,15.640,0.320,00:15.320,00:15.640,4
40,code,15.640,15.900,0.260,00:15.640,00:15.900,4
41,for,15.900,16.180,0.280,00:15.900,00:16.180,3
42,free.,16.180,16.580,0.400,00:16.180,00:16.580,5
43,"Today,",17.280,17.640,0.360,00:17.280,00:17.640,6
44,we,17.820,18.080,0.260,00:17.820,00:18.080,2
