Word Index,Word,Start Time (s),End Time (s),Duration (s),Start Timestamp,End Timestamp,Character Count
1,This,0.000,0.480,0.480,00:00.000,00:00.480,4
2,is,0.480,0.780,0.300,00:00.480,00:00.780,2
3,day,0.780,1.000,0.220,00:00.780,00:01.000,3
4,46,1.000,1.660,0.660,00:01.000,00:01.660,2
5,of,1.660,2.000,0.340,00:01.660,00:02.000,2
6,learning,2.000,2.220,0.220,00:02.000,00:02.220,8
7,National,2.220,2.780,0.560,00:02.220,00:02.780,8
8,Railway,2.780,3.280,0.500,00:02.780,00:03.280,7
9,System,3.280,3.680,0.400,00:03.280,00:03.680,6
10,in,3.680,3.960,0.280,00:03.680,00:03.960,2
11,Java,3.960,4.220,0.260,00:03.960,00:04.220,4
12,from,4.220,4.680,0.460,00:04.220,00:04.680,4
13,first,4.680,5.020,0.340,00:04.680,00:05.020,5
14,principles.,5.020,5.500,0.480,00:05.020,00:05.500,11
15,Last,6.060,6.440,0.380,00:06.060,00:06.440,4
16,"day,",6.440,6.760,0.320,00:06.440,00:06.760,4
17,we,6.940,7.020,0.080,00:06.940,00:07.020,2
18,learned,7.020,7.280,0.260,00:07.020,00:07.280,7
19,how,7.280,7.520,0.240,00:07.280,00:07.520,3
20,runtime,7.520,8.040,0.520,00:07.520,00:08.040,7
21,polymorphism,8.040,9.060,1.020,00:08.040,00:09.060,12
22,lets,9.060,9.400,0.340,00:09.060,00:09.400,4
23,the,9.400,9.620,0.220,00:09.400,00:09.620,3
24,actual,9.620,10.140,0.520,00:09.620,00:10.140,6
25,objects,10.140,10.580,0.440,00:10.140,00:10.580,7
26,type,10.580,11.040,0.460,00:10.580,00:11.040,4
27,determine,11.040,11.520,0.480,00:11.040,00:11.520,9
28,which,11.520,11.820,0.300,00:11.520,00:11.820,5
29,method,11.820,12.240,0.420,00:11.820,00:12.240,6
30,runs.,12.240,12.580,0.340,00:12.240,00:12.580,5
31,When,13.340,13.580,0.240,00:13.340,00:13.580,4
32,an,13.580,13.740,0.160,00:13.580,00:13.740,2
33,express,13.740,14.100,0.360,00:13.740,00:14.100,7
34,train,14.100,14.440,0.340,00:14.100,00:14.440,5
35,object,14.440,14.860,0.420,00:14.440,00:14.860,6
36,is,14.860,15.120,0.260,00:14.860,00:15.120,2
37,stored,15.120,15.400,0.280,00:15.120,00:15.400,6
38,in,15.400,15.620,0.220,00:15.400,00:15.620,2
39,a,15.620,15.740,0.120,00:15.620,00:15.740,1
40,train,15.740,16.020,0.280,00:15.740,00:16.020,5
41,type,16.020,16.440,0.420,00:16.020,00:16.440,4
42,"reference,",16.440,16.800,0.360,00:16.440,00:16.800,10
43,train,17.420,17.660,0.240,00:17.420,00:17.660,5
44,T,17.660,18.020,0.360,00:17.660,00:18.020,1
45,equals,18.020,18.480,0.460,00:18.020,00:18.480,6
46,new,18.480,18.800,0.320,00:18.480,00:18.800,3
47,express,18.800,19.200,0.400,00:18.800,00:19.200,7
48,"train,",19.200,19.560,0.360,00:19.200,00:19.560,6
49,the,20.080,20.260,0.180,00:20.080,00:20.260,3
