Word Index,Word,Start Time (s),End Time (s),Duration (s),Start Timestamp,End Timestamp,Character Count
1,This,0.000,0.180,0.180,00:00.000,00:00.180,4
2,is,0.180,0.560,0.380,00:00.180,00:00.560,2
3,day,0.560,0.800,0.240,00:00.560,00:00.800,3
4,40,0.800,1.200,0.400,00:00.800,00:01.200,2
5,of,1.200,1.600,0.400,00:01.200,00:01.600,2
6,learning,1.600,1.840,0.240,00:01.600,00:01.840,8
7,National,1.840,2.560,0.720,00:01.840,00:02.560,8
8,Railway,2.560,3.120,0.560,00:02.560,00:03.120,7
9,System,3.120,3.580,0.460,00:03.120,00:03.580,6
10,in,3.580,3.860,0.280,00:03.580,00:03.860,2
11,Java,3.860,4.160,0.300,00:03.860,00:04.160,4
12,from,4.160,4.620,0.460,00:04.160,00:04.620,4
13,first,4.620,5.060,0.440,00:04.620,00:05.060,5
14,principles.,5.060,5.740,0.680,00:05.060,00:05.740,11
15,Last,6.360,6.680,0.320,00:06.360,00:06.680,4
16,"day,",6.680,7.040,0.360,00:06.680,00:07.040,4
17,we,7.260,7.380,0.120,00:07.260,00:07.380,2
18,learned,7.380,7.640,0.260,00:07.380,00:07.640,7
19,how,7.640,7.960,0.320,00:07.640,00:07.960,3
20,a,7.960,8.140,0.180,00:07.960,00:08.140,1
21,static,8.140,8.560,0.420,00:08.140,00:08.560,6
22,method,8.560,9.120,0.560,00:08.560,00:09.120,6
23,belongs,9.120,9.440,0.320,00:09.120,00:09.440,7
24,to,9.440,9.800,0.360,00:09.440,00:09.800,2
25,the,9.800,9.900,0.100,00:09.800,00:09.900,3
26,class,9.900,10.220,0.320,00:09.900,00:10.220,5
27,and,10.220,10.760,0.540,00:10.220,00:10.760,3
28,requires,10.760,11.300,0.540,00:10.760,00:11.300,8
29,no,11.300,11.720,0.420,00:11.300,00:11.720,2
30,object,11.720,12.280,0.560,00:11.720,00:12.280,6
31,to,12.280,12.660,0.380,00:12.280,00:12.660,2
32,be,12.660,12.780,0.120,00:12.660,00:12.780,2
33,called.,12.780,13.040,0.260,00:12.780,00:13.040,7
34,"Today,",13.680,13.940,0.260,00:13.680,00:13.940,6
35,we,14.180,14.380,0.200,00:14.180,00:14.380,2
36,learned,14.380,14.660,0.280,00:14.380,00:14.660,7
37,the,14.660,14.840,0.180,00:14.660,00:14.840,3
38,static,14.840,15.260,0.420,00:14.840,00:15.260,6
39,block.,15.260,15.700,0.440,00:15.260,00:15.700,6
40,When,16.440,16.720,0.280,00:16.440,00:16.720,4
41,the,16.720,16.840,0.120,00:16.720,00:16.840,3
42,railway,16.840,17.200,0.360,00:16.840,00:17.200,7
43,system,17.200,17.680,0.480,00:17.200,00:17.680,6
44,application,17.680,18.200,0.520,00:17.680,00:18.200,11
45,"starts,",18.200,19.100,0.900,00:18.200,00:19.100,7
46,before,19.280,19.620,0.340,00:19.280,00:19.620,6
47,a,19.620,19.960,0.340,00:19.620,00:19.960,1
48,single,19.960,20.480,0.520,00:19.960,00:20.480,6
49,train,20.480,20.940,0.460,00:20.480,00:20.940,5
50,is,20.940,21.240,0.300,00:20.940,00:21.240,2
51,"created,",21.240,21.780,0.540,00:21.240,00:21.780,8
52,before,22.200,22.400,0.200,00:22.200,00:22.400,6
53,a,22.400,22.660,0.260,00:22.400,00:22.660,1
54,single,22.660,23.160,0.500,00:22.660,00:23.160,6
55,station,23.160,23.700,0.540,00:23.160,00:23.700,7
56,object,23.700,24.220,0.520,00:23.700,00:24.220,6
