Word Index,Word,Start Time (s),End Time (s),Duration (s),Start Timestamp,End Timestamp,Character Count
1,This,0.000,0.540,0.540,00:00.000,00:00.540,4
2,is,0.540,0.840,0.300,00:00.540,00:00.840,2
3,day,0.840,1.100,0.260,00:00.840,00:01.100,3
4,41,1.100,1.680,0.580,00:01.100,00:01.680,2
5,of,1.680,2.020,0.340,00:01.680,00:02.020,2
6,learning,2.020,2.320,0.300,00:02.020,00:02.320,8
7,National,2.320,2.920,0.600,00:02.320,00:02.920,8
8,Railway,2.920,3.480,0.560,00:02.920,00:03.480,7
9,System,3.480,3.920,0.440,00:03.480,00:03.920,6
10,in,3.920,4.180,0.260,00:03.920,00:04.180,2
11,Java,4.180,4.480,0.300,00:04.180,00:04.480,4
12,from,4.480,4.980,0.500,00:04.480,00:04.980,4
13,first,4.980,5.380,0.400,00:04.980,00:05.380,5
14,principles.,5.380,5.940,0.560,00:05.380,00:05.940,11
15,Last,6.420,6.940,0.520,00:06.420,00:06.940,4
16,"day,",6.940,7.240,0.300,00:06.940,00:07.240,4
17,we,7.400,7.480,0.080,00:07.400,00:07.480,2
18,learned,7.480,7.660,0.180,00:07.480,00:07.660,7
19,how,7.660,7.880,0.220,00:07.660,00:07.880,3
20,a,7.880,8.000,0.120,00:07.880,00:08.000,1
21,static,8.000,8.420,0.420,00:08.000,00:08.420,6
22,block,8.420,8.760,0.340,00:08.420,00:08.760,5
23,runs,8.760,9.180,0.420,00:08.760,00:09.180,4
24,once,9.180,9.700,0.520,00:09.180,00:09.700,4
25,when,9.700,9.920,0.220,00:09.700,00:09.920,4
26,the,9.920,10.080,0.160,00:09.920,00:10.080,3
27,cost,10.080,10.320,0.240,00:10.080,00:10.320,4
28,loads,10.320,10.680,0.360,00:10.320,00:10.680,5
29,before,10.680,11.240,0.560,00:10.680,00:11.240,6
30,any,11.240,11.720,0.480,00:11.240,00:11.720,3
31,object,11.720,12.160,0.440,00:11.720,00:12.160,6
32,ever,12.160,12.580,0.420,00:12.160,00:12.580,4
33,exists.,12.580,13.080,0.500,00:12.580,00:13.080,7
34,"Today,",13.920,14.240,0.320,00:13.920,00:14.240,6
35,we,14.320,14.520,0.200,00:14.320,00:14.520,2
36,learn,14.520,14.720,0.200,00:14.520,00:14.720,5
37,the,14.720,14.880,0.160,00:14.720,00:14.880,3
38,difference,14.880,15.260,0.380,00:14.880,00:15.260,10
39,between,15.260,15.700,0.440,00:15.260,00:15.700,7
40,instance,15.700,16.220,0.520,00:15.700,00:16.220,8
41,variables,16.220,16.680,0.460,00:16.220,00:16.680,9
42,and,16.680,17.140,0.460,00:16.680,00:17.140,3
43,static,17.140,17.560,0.420,00:17.140,00:17.560,6
44,variables.,17.560,18.060,0.500,00:17.560,00:18.060,10
45,The,18.700,18.920,0.220,00:18.700,00:18.920,3
46,train,18.920,19.220,0.300,00:18.920,00:19.220,5
47,class,19.220,19.540,0.320,00:19.220,00:19.540,5
48,has,19.540,19.800,0.260,00:19.540,00:19.800,3
49,both.,19.800,20.140,0.340,00:19.800,00:20.140,5
50,Private,20.980,21.320,0.340,00:20.980,00:21.320,7
51,int,21.320,21.660,0.340,00:21.320,00:21.660,3
52,current,21.660,22.180,0.520,00:21.660,00:22.180,7
53,passenger,22.180,22.740,0.560,00:22.180,00:22.740,9
54,"count,",22.740,23.120,0.380,00:22.740,00:23.120,6
55,instance,23.460,23.800,0.340,00:23.460,00:23.800,8
56,"variable,",23.800,24.340,0.540,00:23.800,00:24.340,9
57,train,24.340,25.100,0.760,00:24.340,00:25.100,5
58,hashtag,25.100,25.660,0.560,00:25.100,00:25.660,7
59,KL2401,25.660,27.700,2.040,00:25.660,00:27.700,6
60,carries,27.700,28.320,0.620,00:27.700,00:28.320,7
61,its,28.320,28.600,0.280,00:28.320,00:28.600,3
62,own,28.600,28.960,0.360,00:28.600,00:28.960,3
63,count.,28.960,29.480,0.520,00:28.960,00:29.480,6
64,Train,30.180,30.260,0.080,00:30.180,00:30.260,5
65,hashtag,30.260,30.820,0.560,00:30.260,00:30.820,7
66,MH1102,30.820,32.940,2.120,00:30.820,00:32.940,6
67,carries,32.940,33.560,0.620,00:32.940,00:33.560,7
68,its,33.560,33.860,0.300,00:33.560,00:33.860,3
69,"own,",33.860,34.240,0.380,00:33.860,00:34.240,4
70,completely,34.860,35.400,0.540,00:34.860,00:35.400,10
71,separate,35.400,36.020,0.620,00:35.400,00:36.020,8
72,per,36.020,36.420,0.400,00:36.020,00:36.420,3
73,object.,36.420,37.060,0.640,00:36.420,00:37.060,7
74,Static,38.060,38.560,0.500,00:38.060,00:38.560,6
75,int,38.560,38.980,0.420,00:38.560,00:38.980,3
76,total,38.980,39.420,0.440,00:38.980,00:39.420,5
77,passengers,39.420,39.920,0.500,00:39.420,00:39.920,10
78,in,39.920,40.240,0.320,00:39.920,00:40.240,2
79,"system,",40.240,40.660,0.420,00:40.240,00:40.660,7
80,class,41.220,41.460,0.240,00:41.220,00:41.460,5
81,"variable,",41.460,41.960,0.500,00:41.460,00:41.960,9
82,one,42.580,42.940,0.360,00:42.580,00:42.940,3
83,copy,42.940,43.420,0.480,00:42.940,00:43.420,4
84,shared,43.420,44.080,0.660,00:43.420,00:44.080,6
85,across,44.080,44.440,0.360,00:44.080,00:44.440,6
86,every,44.440,45.040,0.600,00:44.440,00:45.040,5
87,train,45.040,45.340,0.300,00:45.040,00:45.340,5
88,object,45.340,45.780,0.440,00:45.340,00:45.780,6
89,in,45.780,46.040,0.260,00:45.780,00:46.040,2
90,the,46.040,46.180,0.140,00:46.040,00:46.180,3
91,entire,46.180,46.620,0.440,00:46.180,00:46.620,6
92,system.,46.620,47.280,0.660,00:46.620,00:47.280,7
93,When,47.920,48.320,0.400,00:47.920,00:48.320,4
94,train,48.320,48.600,0.280,00:48.320,00:48.600,5
95,hashtag,48.600,49.140,0.540,00:48.600,00:49.140,7
96,KL2401,49.140,51.120,1.980,00:49.140,00:51.120,6
97,boards,51.120,51.600,0.480,00:51.120,00:51.600,6
98,300,51.600,52.240,0.640,00:51.600,00:52.240,3
99,"passengers,",52.240,52.900,0.660,00:52.240,00:52.900,11
100,current,53.420,53.660,0.240,00:53.420,00:53.660,7
101,passenger,53.660,54.220,0.560,00:53.660,00:54.220,9
102,count,54.220,54.540,0.320,00:54.220,00:54.540,5
103,for,54.540,54.740,0.200,00:54.540,00:54.740,3
104,that,54.740,54.940,0.200,00:54.740,00:54.940,4
105,train,54.940,55.260,0.320,00:54.940,00:55.260,5
106,becomes,55.260,55.640,0.380,00:55.260,00:55.640,7
107,"300,",55.640,56.400,0.760,00:55.640,00:56.400,4
108,and,56.740,56.980,0.240,00:56.740,00:56.980,3
109,total,56.980,57.340,0.360,00:56.980,00:57.340,5
110,passengers,57.340,57.940,0.600,00:57.340,00:57.940,10
111,in,57.940,58.220,0.280,00:57.940,00:58.220,2
