Word Index,Word,Start Time (s),End Time (s),Duration (s),Start Timestamp,End Timestamp,Character Count
1,Two,0.000,0.420,0.420,00:00.000,00:00.420,3
2,"crews,",0.420,0.920,0.500,00:00.420,00:00.920,6
3,same,1.620,1.900,0.280,00:01.620,00:01.900,4
4,path,1.900,2.320,0.420,00:01.900,00:02.320,4
5,around,2.320,2.760,0.440,00:02.320,00:02.760,6
6,the,2.760,3.000,0.240,00:02.760,00:03.000,3
7,"moon,",3.000,3.260,0.260,00:03.000,00:03.260,5
8,56,3.780,4.320,0.540,00:03.780,00:04.320,2
9,years,4.320,5.220,0.900,00:04.320,00:05.220,5
10,apart.,5.220,5.840,0.620,00:05.220,00:05.840,6
11,What,6.660,6.920,0.260,00:06.660,00:06.920,4
12,changed,6.920,7.580,0.660,00:06.920,00:07.580,7
13,and,7.580,8.000,0.420,00:07.580,00:08.000,3
14,what,8.000,8.260,0.260,00:08.000,00:08.260,4
15,never,8.260,8.580,0.320,00:08.260,00:08.580,5
16,did?,8.580,8.860,0.280,00:08.580,00:08.860,4
17,This,9.820,10.080,0.260,00:09.820,00:10.080,4
18,is,10.080,10.420,0.340,00:10.080,00:10.420,2
19,day,10.420,10.700,0.280,00:10.420,00:10.700,3
20,three,10.700,11.100,0.400,00:10.700,00:11.100,5
21,of,11.100,11.500,0.400,00:11.100,00:11.500,2
22,resolving,11.500,12.060,0.560,00:11.500,00:12.060,9
23,hidden,12.060,12.440,0.380,00:12.060,00:12.440,6
24,secrets,12.440,13.060,0.620,00:12.440,00:13.060,7
25,around,13.060,13.580,0.520,00:13.060,00:13.580,6
26,the,13.580,13.780,0.200,00:13.580,00:13.780,3
27,world.,13.780,14.160,0.380,00:13.780,00:14.160,6
28,Last,15.000,15.340,0.340,00:15.000,00:15.340,4
29,"day,",15.340,15.720,0.380,00:15.340,00:15.720,4
30,we,16.060,16.240,0.180,00:16.060,00:16.240,2
31,learned,16.240,16.540,0.300,00:16.240,00:16.540,7
32,why,16.540,16.880,0.340,00:16.540,00:16.880,3
33,Artemis,16.880,17.420,0.540,00:16.880,00:17.420,7
34,II,17.420,17.660,0.240,00:17.420,00:17.660,2
35,is,17.660,17.960,0.300,00:17.660,00:17.960,2
36,the,17.960,18.100,0.140,00:17.960,00:18.100,3
37,most,18.100,18.420,0.320,00:18.100,00:18.420,4
38,consequential,18.420,19.400,0.980,00:18.420,00:19.400,13
39,crude,19.400,19.800,0.400,00:19.400,00:19.800,5
40,mission,19.800,20.320,0.520,00:19.800,00:20.320,7
41,NASA,20.320,20.760,0.440,00:20.320,00:20.760,4
42,has,20.760,21.160,0.400,00:20.760,00:21.160,3
43,launched,21.160,21.560,0.400,00:21.160,00:21.560,8
44,since,21.560,21.880,0.320,00:21.560,00:21.880,5
45,the,21.880,22.080,0.200,00:21.880,00:22.080,3
46,moon,22.080,22.340,0.260,00:22.080,00:22.340,4
47,landings,22.340,22.900,0.560,00:22.340,00:22.900,8
48,ended.,22.900,23.200,0.300,00:22.900,00:23.200,6
49,In,23.800,24.220,0.420,00:23.800,00:24.220,2
50,December,24.220,24.680,0.460,00:24.220,00:24.680,8
51,"1968,",24.680,25.860,1.180,00:24.680,00:25.860,5
52,Apollo,26.520,26.740,0.220,00:26.520,00:26.740,6
53,8,26.740,27.260,0.520,00:26.740,00:27.260,1
54,carried,27.260,27.680,0.420,00:27.260,00:27.680,7
55,three,27.680,28.200,0.520,00:27.680,00:28.200,5
56,astronauts,28.200,28.840,0.640,00:28.200,00:28.840,10
57,around,28.840,29.280,0.440,00:28.840,00:29.280,6
58,the,29.280,29.500,0.220,00:29.280,00:29.500,3
59,moon,29.500,29.760,0.260,00:29.500,00:29.760,4
60,and,29.760,30.020,0.260,00:29.760,00:30.020,3
61,"back,",30.020,30.280,0.260,00:30.020,00:30.280,5
62,no,30.800,31.020,0.220,00:30.800,00:31.020,2
63,landing,31.020,31.440,0.420,00:31.020,00:31.440,7
64,just,31.440,32.040,0.600,00:31.440,00:32.040,4
65,a,32.040,32.320,0.280,00:32.040,00:32.320,1
66,loop,32.320,32.540,0.220,00:32.320,00:32.540,4
67,to,32.540,32.960,0.420,00:32.540,00:32.960,2
68,prove,32.960,33.280,0.320,00:32.960,00:33.280,5
69,the,33.280,33.520,0.240,00:33.280,00:33.520,3
70,journey,33.520,33.840,0.320,00:33.520,00:33.840,7
71,was,33.840,34.060,0.220,00:33.840,00:34.060,3
72,survivable.,34.060,34.740,0.680,00:34.060,00:34.740,11
73,In,35.000,35.620,0.620,00:35.000,00:35.620,2
74,"2025,",35.620,36.420,0.800,00:35.620,00:36.420,5
75,Artemis,37.100,37.460,0.360,00:37.100,00:37.460,7
76,II,37.460,37.760,0.300,00:37.460,00:37.760,2
77,does,37.760,38.020,0.260,00:37.760,00:38.020,4
78,the,38.020,38.200,0.180,00:38.020,00:38.200,3
79,same,38.200,38.460,0.260,00:38.200,00:38.460,4
80,thing.,38.460,38.820,0.360,00:38.460,00:38.820,6
81,Four,39.160,39.520,0.360,00:39.160,00:39.520,4
82,"astronauts,",39.520,40.120,0.600,00:39.520,00:40.120,11
83,same,40.700,40.940,0.240,00:40.700,00:40.940,4
84,free,40.940,41.420,0.480,00:40.940,00:41.420,4
85,return,41.420,41.840,0.420,00:41.420,00:41.840,6
86,trajectory,41.840,42.440,0.600,00:41.840,00:42.440,10
87,around,42.440,42.860,0.420,00:42.440,00:42.860,6
88,the,42.860,43.060,0.200,00:42.860,00:43.060,3
89,"moon,",43.060,43.360,0.300,00:43.060,00:43.360,5
90,same,43.800,44.160,0.360,00:43.800,00:44.160,4
91,fundamental,44.160,44.840,0.680,00:44.160,00:44.840,11
92,"question,",44.840,45.500,0.660,00:44.840,00:45.500,9
93,can,46.020,46.200,0.180,00:46.020,00:46.200,3
94,humans,46.200,46.740,0.540,00:46.200,00:46.740,6
95,survive,46.740,47.240,0.500,00:46.740,00:47.240,7
96,deep,47.240,47.740,0.500,00:47.240,00:47.740,4
97,space,47.740,48.300,0.560,00:47.740,00:48.300,5
98,beyond,48.300,48.980,0.680,00:48.300,00:48.980,6
99,Earth's,48.980,49.640,0.660,00:48.980,00:49.640,7
100,magnetic,49.640,50.000,0.360,00:49.640,00:50.000,8
101,shield,50.000,50.540,0.540,00:50.000,00:50.540,6
102,long,50.540,51.000,0.460,00:50.540,00:51.000,4
103,enough,51.000,51.280,0.280,00:51.000,00:51.280,6
104,to,51.280,51.480,0.200,00:51.280,00:51.480,2
105,matter?,51.480,51.760,0.280,00:51.480,00:51.760,7
106,But,52.450,52.840,0.390,00:52.450,00:52.840,3
107,almost,52.840,53.360,0.520,00:52.840,00:53.360,6
108,everything,53.360,54.100,0.740,00:53.360,00:54.100,10
109,else,54.100,54.460,0.360,00:54.100,00:54.460,4
110,is,54.460,54.720,0.260,00:54.460,00:54.720,2
111,unrecognizable.,54.720,55.820,1.100,00:54.720,00:55.820,15
112,Apollo,56.500,56.720,0.220,00:56.500,00:56.720,6
113,8,56.720,57.280,0.560,00:56.720,00:57.280,1
114,ran,57.280,57.640,0.360,00:57.280,00:57.640,3
115,on,57.640,57.860,0.220,00:57.640,00:57.860,2
116,computers,57.860,58.380,0.520,00:57.860,00:58.380,9
117,less,58.380,58.900,0.520,00:58.380,00:58.900,4
118,powerful,58.900,59.520,0.620,00:58.900,00:59.520,8
119,than,59.520,59.800,0.280,00:59.520,00:59.800,4
120,a,59.800,59.920,0.120,00:59.800,00:59.920,1
121,wristwatch.,59.920,60.600,0.680,00:59.920,01:00.600,11
122,Artemis,61.220,61.720,0.500,01:01.220,01:01.720,7
123,II,61.720,62.040,0.320,01:01.720,01:02.040,2
124,carries,62.040,62.460,0.420,01:02.040,01:02.460,7
125,systems,62.460,62.940,0.480,01:02.460,01:02.940,7
126,that,62.940,63.220,0.280,01:02.940,01:03.220,4
127,detect,63.220,63.580,0.360,01:03.220,01:03.580,6
128,radiation,63.580,64.100,0.520,01:03.580,01:04.100,9
129,threats,64.100,64.600,0.500,01:04.100,01:04.600,7
130,in,64.600,64.920,0.320,01:04.600,01:04.920,2
131,real,64.920,65.140,0.220,01:04.920,01:05.140,4
132,"time,",65.140,65.620,0.480,01:05.140,01:05.620,5
133,adjust,66.100,66.360,0.260,01:06.100,01:06.360,6
134,trajectory,66.360,67.220,0.860,01:06.360,01:07.220,10
135,mid,67.220,67.580,0.360,01:07.220,01:07.580,3
136,"-flight,",67.580,67.880,0.300,01:07.580,01:07.880,8
137,and,68.220,68.500,0.280,01:08.220,01:08.500,3
138,communicate,68.500,69.020,0.520,01:08.500,01:09.020,11
139,with,69.020,69.400,0.380,01:09.020,01:09.400,4
140,Earth,69.400,69.660,0.260,01:09.400,01:09.660,5
141,at,69.660,69.980,0.320,01:09.660,01:09.980,2
142,speeds,69.980,70.380,0.400,01:09.980,01:10.380,6
143,Apollo,70.380,70.960,0.580,01:10.380,01:10.960,6
144,could,70.960,71.420,0.460,01:10.960,01:11.420,5
145,never,71.420,71.800,0.380,01:11.420,01:11.800,5
146,access.,71.800,72.300,0.500,01:11.800,01:12.300,7
147,The,73.120,73.380,0.260,01:13.120,01:13.380,3
148,destination,73.380,73.840,0.460,01:13.380,01:13.840,11
149,is,73.840,74.360,0.520,01:13.840,01:14.360,2
150,the,74.360,74.500,0.140,01:14.360,01:14.500,3
151,"same,",74.500,74.820,0.320,01:14.500,01:14.820,5
152,the,75.200,75.380,0.180,01:15.200,01:15.380,3
153,machine,75.380,75.720,0.340,01:15.380,01:15.720,7
154,is,75.720,76.140,0.420,01:15.720,01:16.140,2
155,from,76.140,76.320,0.180,01:16.140,01:16.320,4
156,a,76.320,76.460,0.140,01:16.320,01:16.460,1
157,different,76.460,76.780,0.320,01:16.460,01:16.780,9
158,civilization.,76.780,77.660,0.880,01:16.780,01:17.660,13
159,That,78.460,78.820,0.360,01:18.460,01:18.820,4
160,is,78.820,79.260,0.440,01:18.820,01:19.260,2
161,what,79.260,79.480,0.220,01:19.260,01:19.480,4
162,56,79.480,80.040,0.560,01:19.480,01:20.040,2
163,years,80.040,80.700,0.660,01:20.040,01:20.700,5
164,of,80.700,81.020,0.320,01:20.700,01:21.020,2
165,refusing,81.020,81.540,0.520,01:21.020,01:21.540,8
166,to,81.540,81.920,0.380,01:21.540,01:21.920,2
167,stop,81.920,82.260,0.340,01:21.920,01:22.260,4
168,looks,82.260,82.740,0.480,01:22.260,01:22.740,5
169,like.,82.740,83.220,0.480,01:22.740,01:23.220,5
170,"Tomorrow,",83.940,84.460,0.520,01:23.940,01:24.460,9
171,one,85.040,85.340,0.300,01:25.040,01:25.340,3
172,button,85.340,85.700,0.360,01:25.340,01:25.700,6
173,on,85.700,86.060,0.360,01:25.700,01:26.060,2
174,board,86.060,86.320,0.260,01:26.060,01:26.320,5
175,Artemis,86.320,86.860,0.540,01:26.320,01:26.860,7
176,"II,",86.860,87.080,0.220,01:26.860,01:27.080,3
177,what,87.560,87.800,0.240,01:27.560,01:27.800,4
178,happens,87.800,88.180,0.380,01:27.800,01:28.180,7
179,the,88.180,88.480,0.300,01:28.180,01:28.480,3
180,moment,88.480,88.800,0.320,01:28.480,01:28.800,6
181,a,88.800,89.060,0.260,01:28.800,01:29.060,1
182,crew,89.060,89.280,0.220,01:29.060,01:29.280,4
183,member,89.280,89.580,0.300,01:29.280,01:29.580,6
184,hits,89.580,89.860,0.280,01:29.580,01:29.860,4
185,it?,89.860,90.200,0.340,01:29.860,01:30.200,3
