Word Index,Word,Start Time (s),End Time (s),Duration (s),Start Timestamp,End Timestamp,Character Count
1,The,0.000,0.380,0.380,00:00.000,00:00.380,3
2,most,0.380,0.780,0.400,00:00.380,00:00.780,4
3,advanced,0.780,1.380,0.600,00:00.780,00:01.380,8
4,spacecraft,1.380,2.020,0.640,00:01.380,00:02.020,10
5,NASA,2.020,2.480,0.460,00:02.020,00:02.480,4
6,has,2.480,2.900,0.420,00:02.480,00:02.900,3
7,ever,2.900,3.220,0.320,00:02.900,00:03.220,4
8,"built,",3.220,3.560,0.340,00:03.220,00:03.560,6
9,and,3.800,4.120,0.320,00:03.800,00:04.120,3
10,it,4.120,4.300,0.180,00:04.120,00:04.300,2
11,still,4.300,4.660,0.360,00:04.300,00:04.660,5
12,falls,4.660,5.080,0.420,00:04.660,00:05.080,5
13,into,5.080,5.420,0.340,00:05.080,00:05.420,4
14,the,5.420,5.620,0.200,00:05.420,00:05.620,3
15,ocean,5.620,5.920,0.300,00:05.620,00:05.920,5
16,like,5.920,6.160,0.240,00:05.920,00:06.160,4
17,it,6.160,6.340,0.180,00:06.160,00:06.340,2
18,is,6.340,6.480,0.140,00:06.340,00:06.480,2
19,1969.,6.480,7.520,1.040,00:06.480,00:07.520,5
20,This,8.360,8.700,0.340,00:08.360,00:08.700,4
21,is,8.700,8.880,0.180,00:08.700,00:08.880,2
22,day,8.880,9.120,0.240,00:08.880,00:09.120,3
23,five,9.120,9.560,0.440,00:09.120,00:09.560,4
24,of,9.560,9.880,0.320,00:09.560,00:09.880,2
25,resolving,9.880,10.460,0.580,00:09.880,00:10.460,9
26,hidden,10.460,10.820,0.360,00:10.460,00:10.820,6
27,secrets,10.820,11.280,0.460,00:10.820,00:11.280,7
28,around,11.280,11.720,0.440,00:11.280,00:11.720,6
29,the,11.720,11.920,0.200,00:11.720,00:11.920,3
30,world.,11.920,12.280,0.360,00:11.920,00:12.280,6
31,Last,12.860,13.140,0.280,00:12.860,00:13.140,4
32,"day,",13.140,13.560,0.420,00:13.140,00:13.560,4
33,we,13.820,13.900,0.080,00:13.820,00:13.900,2
34,learned,13.900,14.140,0.240,00:13.900,00:14.140,7
35,what,14.140,14.400,0.260,00:14.140,00:14.400,4
36,happens,14.400,14.760,0.360,00:14.400,00:14.760,7
37,when,14.760,15.020,0.260,00:14.760,00:15.020,4
38,a,15.020,15.160,0.140,00:15.020,00:15.160,1
39,crew,15.160,15.380,0.220,00:15.160,00:15.380,4
40,member,15.380,15.760,0.380,00:15.380,00:15.760,6
41,hits,15.760,16.100,0.340,00:15.760,00:16.100,4
42,the,16.100,16.380,0.280,00:16.100,00:16.380,3
43,abort,16.380,16.700,0.320,00:16.380,00:16.700,5
44,button,16.700,17.200,0.500,00:16.700,00:17.200,6
45,and,17.200,17.680,0.480,00:17.200,00:17.680,3
46,why,17.680,17.900,0.220,00:17.680,00:17.900,3
47,every,17.900,18.540,0.640,00:17.900,00:18.540,5
48,millisecond,18.540,19.320,0.780,00:18.540,00:19.320,11
49,of,19.320,19.500,0.180,00:19.320,00:19.500,2
50,that,19.500,19.700,0.200,00:19.500,00:19.700,4
51,sequence,19.700,20.120,0.420,00:19.700,00:20.120,8
52,was,20.120,20.460,0.340,00:20.120,00:20.460,3
53,engineered,20.460,20.980,0.520,00:20.460,00:20.980,10
54,years,20.980,21.500,0.520,00:20.980,00:21.500,5
55,before,21.500,21.960,0.460,00:21.500,00:21.960,6
56,launch.,21.960,22.500,0.540,00:21.960,00:22.500,7
57,Orion,23.300,23.700,0.400,00:23.300,00:23.700,5
58,splashes,23.700,24.240,0.540,00:23.700,00:24.240,8
59,down,24.240,24.580,0.340,00:24.240,00:24.580,4
60,in,24.580,24.800,0.220,00:24.580,00:24.800,2
61,the,24.800,24.900,0.100,00:24.800,00:24.900,3
62,Pacific,24.900,25.280,0.380,00:24.900,00:25.280,7
63,Ocean,25.280,25.760,0.480,00:25.280,00:25.760,5
64,because,25.760,26.320,0.560,00:25.760,00:26.320,7
65,water,26.320,26.820,0.500,00:26.320,00:26.820,5
66,is,26.820,27.140,0.320,00:26.820,00:27.140,2
67,the,27.140,27.300,0.160,00:27.140,00:27.300,3
68,safest,27.300,27.760,0.460,00:27.300,00:27.760,6
69,impact,27.760,28.260,0.500,00:27.760,00:28.260,6
70,surface,28.260,28.740,0.480,00:28.260,00:28.740,7
71,available,28.740,29.300,0.560,00:28.740,00:29.300,9
72,for,29.300,29.640,0.340,00:29.300,00:29.640,3
73,a,29.640,29.780,0.140,00:29.640,00:29.780,1
74,capsule,29.780,30.100,0.320,00:29.780,00:30.100,7
75,returning,30.100,30.660,0.560,00:30.100,00:30.660,9
