Word Index,Word,Start Time (s),End Time (s),Duration (s),Start Timestamp,End Timestamp,Character Count
1,One,0.000,0.260,0.260,00:00.000,00:00.260,3
2,"button,",0.260,0.680,0.420,00:00.260,00:00.680,7
3,four,1.240,1.460,0.220,00:01.240,00:01.460,4
4,"astronauts,",1.460,2.020,0.560,00:01.460,00:02.020,11
5,zero,2.680,2.940,0.260,00:02.680,00:02.940,4
6,second,2.940,3.360,0.420,00:02.940,00:03.360,6
7,chances.,3.360,3.880,0.520,00:03.360,00:03.880,8
8,This,4.460,4.820,0.360,00:04.460,00:04.820,4
9,is,4.820,5.060,0.240,00:04.820,00:05.060,2
10,day,5.060,5.220,0.160,00:05.060,00:05.220,3
11,four,5.220,5.560,0.340,00:05.220,00:05.560,4
12,of,5.560,5.820,0.260,00:05.560,00:05.820,2
13,resolving,5.820,6.300,0.480,00:05.820,00:06.300,9
14,hidden,6.300,6.580,0.280,00:06.300,00:06.580,6
15,secrets,6.580,7.100,0.520,00:06.580,00:07.100,7
16,around,7.100,7.480,0.380,00:07.100,00:07.480,6
17,the,7.480,7.660,0.180,00:07.480,00:07.660,3
18,world.,7.660,8.040,0.380,00:07.660,00:08.040,6
19,Last,8.640,8.860,0.220,00:08.640,00:08.860,4
20,"day,",8.860,9.200,0.340,00:08.860,00:09.200,4
21,we,9.420,9.480,0.060,00:09.420,00:09.480,2
22,learned,9.480,9.720,0.240,00:09.480,00:09.720,7
23,how,9.720,10.060,0.340,00:09.720,00:10.060,3
24,Artemis,10.060,10.580,0.520,00:10.060,00:10.580,7
25,II,10.580,10.820,0.240,00:10.580,00:10.820,2
26,mirrors,10.820,11.180,0.360,00:10.820,00:11.180,7
27,Apollo,11.180,11.500,0.320,00:11.180,00:11.500,6
28,"8,",11.500,11.980,0.480,00:11.500,00:11.980,2
29,same,12.560,12.800,0.240,00:12.560,00:12.800,4
30,path,12.800,13.120,0.320,00:12.800,00:13.120,4
