Word Index,Word,Start Time (s),End Time (s),Duration (s),Start Timestamp,End Timestamp,Character Count
1,This,0.000,0.440,0.440,00:00.000,00:00.440,4
2,is,0.440,0.660,0.220,00:00.440,00:00.660,2
3,day,0.660,0.860,0.200,00:00.660,00:00.860,3
4,32,0.860,1.460,0.600,00:00.860,00:01.460,2
5,of,1.460,1.880,0.420,00:01.460,00:01.880,2
6,learning,1.880,2.160,0.280,00:01.880,00:02.160,8
7,Java,2.160,2.520,0.360,00:02.160,00:02.520,4
8,from,2.520,2.840,0.320,00:02.520,00:02.840,4
9,first,2.840,3.140,0.300,00:02.840,00:03.140,5
10,principles.,3.140,3.800,0.660,00:03.140,00:03.800,11
11,Last,4.420,4.700,0.280,00:04.420,00:04.700,4
12,"day,",4.700,5.080,0.380,00:04.700,00:05.080,4
13,we,5.260,5.320,0.060,00:05.260,00:05.320,2
14,learned,5.320,5.620,0.300,00:05.320,00:05.620,7
15,how,5.620,5.920,0.300,00:05.620,00:05.920,3
16,static,5.920,6.360,0.440,00:05.920,00:06.360,6
17,blocks,6.360,6.660,0.300,00:06.360,00:06.660,6
18,run,6.660,7.040,0.380,00:06.660,00:07.040,3
19,once,7.040,7.580,0.540,00:07.040,00:07.580,4
20,when,7.580,7.780,0.200,00:07.580,00:07.780,4
21,a,7.780,7.900,0.120,00:07.780,00:07.900,1
22,class,7.900,8.140,0.240,00:07.900,00:08.140,5
23,is,8.140,8.400,0.260,00:08.140,00:08.400,2
24,first,8.400,8.680,0.280,00:08.400,00:08.680,5
25,loaded,8.680,9.060,0.380,00:08.680,00:09.060,6
26,into,9.060,9.360,0.300,00:09.060,00:09.360,4
27,memory.,9.360,9.700,0.340,00:09.360,00:09.700,7
28,"Today,",10.500,10.840,0.340,00:10.500,00:10.840,6
29,we,11.180,11.380,0.200,00:11.180,00:11.380,2
30,are,11.380,11.500,0.120,00:11.380,00:11.500,3
31,looking,11.500,11.780,0.280,00:11.500,00:11.780,7
32,at,11.780,11.960,0.180,00:11.780,00:11.960,2
33,method,11.960,12.420,0.460,00:11.960,00:12.420,6
34,overriding.,12.420,13.180,0.760,00:12.420,00:13.180,11
35,The,13.820,14.220,0.400,00:13.820,00:14.220,3
36,base,14.220,14.580,0.360,00:14.220,00:14.580,4
37,train,14.580,14.960,0.380,00:14.580,00:14.960,5
38,class,14.960,15.380,0.420,00:14.960,00:15.380,5
39,has,15.380,15.720,0.340,00:15.380,00:15.720,3
40,a,15.720,15.880,0.160,00:15.720,00:15.880,1
41,method,15.880,16.160,0.280,00:15.880,00:16.160,6
42,called,16.160,16.580,0.420,00:16.160,00:16.580,6
43,Calculate,16.580,17.300,0.720,00:16.580,00:17.300,9
44,Fair.,17.300,17.520,0.220,00:17.300,00:17.520,5
45,Every,18.080,18.620,0.540,00:18.080,00:18.620,5
46,train,18.620,19.020,0.400,00:18.620,00:19.020,5
47,inherits,19.020,19.680,0.660,00:19.020,00:19.680,8
48,"it,",19.680,19.860,0.180,00:19.680,00:19.860,3
49,but,20.320,20.520,0.200,00:20.320,00:20.520,3
50,an,20.520,20.680,0.160,00:20.520,00:20.680,2
51,express,20.680,21.060,0.380,00:20.680,00:21.060,7
52,train,21.060,21.560,0.500,00:21.060,00:21.560,5
53,has,21.560,21.900,0.340,00:21.560,00:21.900,3
54,premium,21.900,22.420,0.520,00:21.900,00:22.420,7
55,pricing.,22.420,22.900,0.480,00:22.420,00:22.900,8
56,A,23.560,23.800,0.240,00:23.560,00:23.800,1
57,metro,23.800,24.200,0.400,00:23.800,00:24.200,5
