Word Index,Word,Start Time (s),End Time (s),Duration (s),Start Timestamp,End Timestamp,Character Count
1,This,0.000,0.500,0.500,00:00.000,00:00.500,4
2,is,0.500,0.860,0.360,00:00.500,00:00.860,2
3,day,0.860,1.120,0.260,00:00.860,00:01.120,3
4,33,1.120,1.800,0.680,00:01.120,00:01.800,2
5,of,1.800,2.160,0.360,00:01.800,00:02.160,2
6,learning,2.160,2.480,0.320,00:02.160,00:02.480,8
7,Java,2.480,2.820,0.340,00:02.480,00:02.820,4
8,from,2.820,3.240,0.420,00:02.820,00:03.240,4
9,first,3.240,3.580,0.340,00:03.240,00:03.580,5
10,principles.,3.580,4.200,0.620,00:03.580,00:04.200,11
11,Last,4.800,5.100,0.300,00:04.800,00:05.100,4
12,"day,",5.100,5.440,0.340,00:05.100,00:05.440,4
13,we,5.660,5.740,0.080,00:05.660,00:05.740,2
14,learned,5.740,6.000,0.260,00:05.740,00:06.000,7
15,how,6.000,6.240,0.240,00:06.000,00:06.240,3
16,child,6.240,6.640,0.400,00:06.240,00:06.640,5
17,classes,6.640,7.060,0.420,00:06.640,00:07.060,7
18,can,7.060,7.400,0.340,00:07.060,00:07.400,3
19,override,7.400,7.860,0.460,00:07.400,00:07.860,8
20,methods,7.860,8.380,0.520,00:07.860,00:08.380,7
21,they,8.380,8.680,0.300,00:08.380,00:08.680,4
22,inherit,8.680,9.020,0.340,00:08.680,00:09.020,7
23,from,9.020,9.320,0.300,00:09.020,00:09.320,4
24,the,9.320,9.440,0.120,00:09.320,00:09.440,3
25,parent.,9.440,9.740,0.300,00:09.440,00:09.740,7
26,"Today,",10.420,10.780,0.360,00:10.420,00:10.780,6
27,we,11.040,11.100,0.060,00:11.040,00:11.100,2
28,are,11.100,11.200,0.100,00:11.100,00:11.200,3
29,looking,11.200,11.480,0.280,00:11.200,00:11.480,7
30,at,11.480,11.720,0.240,00:11.480,00:11.720,2
31,the,11.720,12.040,0.320,00:11.720,00:12.040,3
32,at,12.040,12.320,0.280,00:12.040,00:12.320,2
33,override,12.320,12.860,0.540,00:12.320,00:12.860,8
34,annotation.,12.860,13.560,0.700,00:12.860,00:13.560,11
35,When,14.300,14.760,0.460,00:14.300,00:14.760,4
36,express,14.760,15.160,0.400,00:14.760,00:15.160,7
37,train,15.160,15.640,0.480,00:15.160,00:15.640,5
38,overrides,15.640,16.380,0.740,00:15.640,00:16.380,9
39,calculate,16.380,16.820,0.440,00:16.380,00:16.820,9
40,"fair,",16.820,17.300,0.480,00:16.820,00:17.300,5
41,the,17.840,17.960,0.120,00:17.840,00:17.960,3
42,developer,17.960,18.340,0.380,00:17.960,00:18.340,9
43,writes,18.340,18.720,0.380,00:18.340,00:18.720,6
44,the,18.720,18.940,0.220,00:18.720,00:18.940,3
45,method,18.940,19.260,0.320,00:18.940,00:19.260,6
46,with,19.260,19.460,0.200,00:19.260,00:19.460,4
47,the,19.460,19.620,0.160,00:19.460,00:19.620,3
48,exact,19.620,19.980,0.360,00:19.620,00:19.980,5
49,same,19.980,20.460,0.480,00:19.980,00:20.460,4
50,name,20.460,20.760,0.300,00:20.460,00:20.760,4
51,and,20.760,21.020,0.260,00:20.760,00:21.020,3
52,parameters,21.020,21.480,0.460,00:21.020,00:21.480,10
53,as,21.480,21.880,0.400,00:21.480,00:21.880,2
54,in,21.880,22.000,0.120,00:21.880,00:22.000,2
55,the,22.000,22.100,0.100,00:22.000,00:22.100,3
56,parent,22.100,22.440,0.340,00:22.100,00:22.440,6
57,train,22.440,22.900,0.460,00:22.440,00:22.900,5
58,class.,22.900,23.260,0.360,00:22.900,00:23.260,6
59,But,23.780,24.120,0.340,00:23.780,00:24.120,3
60,what,24.120,24.320,0.200,00:24.120,00:24.320,4
61,if,24.320,24.460,0.140,00:24.320,00:24.460,2
62,there's,24.460,24.720,0.260,00:24.460,00:24.720,7
63,a,24.720,24.800,0.080,00:24.720,00:24.800,1
64,typo?,24.800,25.280,0.480,00:24.800,00:25.280,5
65,What,25.780,25.920,0.140,00:25.780,00:25.920,4
66,if,25.920,26.060,0.140,00:25.920,00:26.060,2
67,you,26.060,26.200,0.140,00:26.060,00:26.200,3
68,accidentally,26.200,26.760,0.560,00:26.200,00:26.760,12
69,write,26.760,27.220,0.460,00:26.760,00:27.220,5
70,calculate,27.220,27.700,0.480,00:27.220,00:27.700,9
71,fair,27.700,28.180,0.480,00:27.700,00:28.180,4
72,with,28.180,28.500,0.320,00:28.180,00:28.500,4
73,a,28.500,28.640,0.140,00:28.500,00:28.640,1
74,lowercase,28.640,29.120,0.480,00:28.640,00:29.120,9
75,f?,29.120,29.380,0.260,00:29.120,00:29.380,2
76,Java,29.940,30.320,0.380,00:29.940,00:30.320,4
77,would,30.320,30.600,0.280,00:30.320,00:30.600,5
78,treat,30.600,30.780,0.180,00:30.600,00:30.780,5
79,it,30.780,30.940,0.160,00:30.780,00:30.940,2
80,as,30.940,31.120,0.180,00:30.940,00:31.120,2
81,a,31.120,31.240,0.120,00:31.120,00:31.240,1
82,brand,31.240,31.520,0.280,00:31.240,00:31.520,5
83,new,31.520,31.900,0.380,00:31.520,00:31.900,3
84,method.,31.900,32.320,0.420,00:31.900,00:32.320,7
85,The,32.740,32.920,0.180,00:32.740,00:32.920,3
86,override,32.920,33.320,0.400,00:32.920,00:33.320,8
87,silently,33.320,33.920,0.600,00:33.320,00:33.920,8
88,never,33.920,34.360,0.440,00:33.920,00:34.360,5
89,happens.,34.360,34.880,0.520,00:34.360,00:34.880,8
90,The,35.480,35.680,0.200,00:35.480,00:35.680,3
91,at,35.680,35.920,0.240,00:35.680,00:35.920,2
92,override,35.920,36.380,0.460,00:35.920,00:36.380,8
93,annotation,36.380,37.020,0.640,00:36.380,00:37.020,10
94,solves,37.020,37.680,0.660,00:37.020,00:37.680,6
95,this.,37.680,37.940,0.260,00:37.680,00:37.940,5
96,You,38.480,38.680,0.200,00:38.480,00:38.680,3
97,place,38.680,38.920,0.240,00:38.680,00:38.920,5
98,it,38.920,39.100,0.180,00:38.920,00:39.100,2
99,directly,39.100,39.480,0.380,00:39.100,00:39.480,8
100,above,39.480,40.020,0.540,00:39.480,00:40.020,5
101,the,40.020,40.220,0.200,00:40.020,00:40.220,3
102,overriding,40.220,40.760,0.540,00:40.220,00:40.760,10
103,method.,40.760,41.140,0.380,00:40.760,00:41.140,7
104,The,41.580,41.780,0.200,00:41.580,00:41.780,3
105,compiler,41.780,42.220,0.440,00:41.780,00:42.220,8
106,now,42.220,42.620,0.400,00:42.220,00:42.620,3
107,checks,42.620,42.920,0.300,00:42.620,00:42.920,6
108,one,42.920,43.300,0.380,00:42.920,00:43.300,3
109,thing.,43.300,43.640,0.340,00:43.300,00:43.640,6
110,Does,44.180,44.360,0.180,00:44.180,00:44.360,4
111,this,44.360,44.560,0.200,00:44.360,00:44.560,4
112,method,44.560,45.000,0.440,00:44.560,00:45.000,6
113,actually,45.000,45.580,0.580,00:45.000,00:45.580,8
114,override,45.580,46.060,0.480,00:45.580,00:46.060,8
115,a,46.060,46.440,0.380,00:46.060,00:46.440,1
116,method,46.440,46.700,0.260,00:46.440,00:46.700,6
117,in,46.700,46.880,0.180,00:46.700,00:46.880,2
118,the,46.880,46.980,0.100,00:46.880,00:46.980,3
119,parent?,46.980,47.260,0.280,00:46.980,00:47.260,7
120,If,47.780,47.980,0.200,00:47.780,00:47.980,2
121,it,47.980,48.120,0.140,00:47.980,00:48.120,2
122,does,48.120,48.220,0.100,00:48.120,00:48.220,4
123,"not,",48.220,48.500,0.280,00:48.220,00:48.500,4
124,the,48.900,48.980,0.080,00:48.900,00:48.980,3
125,program,48.980,49.440,0.460,00:48.980,00:49.440,7
126,does,49.440,49.720,0.280,00:49.440,00:49.720,4
127,not,49.720,50.020,0.300,00:49.720,00:50.020,3
128,compile.,50.020,50.480,0.460,00:50.020,00:50.480,8
129,A,50.980,51.200,0.220,00:50.980,00:51.200,1
130,typo,51.200,51.700,0.500,00:51.200,00:51.700,4
131,becomes,51.700,52.040,0.340,00:51.700,00:52.040,7
132,a,52.040,52.280,0.240,00:52.040,00:52.280,1
133,compile,52.280,52.600,0.320,00:52.280,00:52.600,7
134,time,52.600,53.000,0.400,00:52.600,00:53.000,4
135,error.,53.000,53.300,0.300,00:53.000,00:53.300,6
136,Not,53.300,53.980,0.680,00:53.300,00:53.980,3
137,a,53.980,54.160,0.180,00:53.980,00:54.160,1
138,silent,54.160,54.560,0.400,00:54.160,00:54.560,6
139,runtime,54.560,54.960,0.400,00:54.560,00:54.960,7
140,bug,54.960,55.420,0.460,00:54.960,00:55.420,3
141,that,55.420,55.880,0.460,00:55.420,00:55.880,4
142,only,55.880,56.260,0.380,00:55.880,00:56.260,4
143,surfaces,56.260,56.760,0.500,00:56.260,00:56.760,8
144,when,56.760,57.020,0.260,00:56.760,00:57.020,4
145,a,57.020,57.180,0.160,00:57.020,00:57.180,1
146,passenger,57.180,57.580,0.400,00:57.180,00:57.580,9
147,gets,57.580,57.840,0.260,00:57.580,00:57.840,4
148,charged,57.840,58.280,0.440,00:57.840,00:58.280,7
149,the,58.280,58.460,0.180,00:58.280,00:58.460,3
150,wrong,58.460,58.700,0.240,00:58.460,00:58.700,5
151,fair.,58.700,59.080,0.380,00:58.700,00:59.080,5
152,At,59.780,60.100,0.320,00:59.780,01:00.100,2
153,override,60.100,60.540,0.440,01:00.100,01:00.540,8
154,does,60.540,60.880,0.340,01:00.540,01:00.880,4
155,not,60.880,61.180,0.300,01:00.880,01:01.180,3
156,change,61.180,61.580,0.400,01:01.180,01:01.580,6
157,what,61.580,61.900,0.320,01:01.580,01:01.900,4
158,the,61.900,62.060,0.160,01:01.900,01:02.060,3
159,method,62.060,62.280,0.220,01:02.060,01:02.280,6
160,does.,62.280,62.660,0.380,01:02.280,01:02.660,5
161,It,63.160,63.260,0.100,01:03.160,01:03.260,2
162,protects,63.260,63.600,0.340,01:03.260,01:03.600,8
163,your,63.600,63.920,0.320,01:03.600,01:03.920,4
164,intention.,63.920,64.420,0.500,01:03.920,01:04.420,10
165,It,64.920,65.020,0.100,01:04.920,01:05.020,2
166,makes,65.020,65.260,0.240,01:05.020,01:05.260,5
167,the,65.260,65.460,0.200,01:05.260,01:05.460,3
168,compiler,65.460,65.820,0.360,01:05.460,01:05.820,8
169,verify,65.820,66.520,0.700,01:05.820,01:06.520,6
170,that,66.520,66.840,0.320,01:06.520,01:06.840,4
171,your,66.840,67.040,0.200,01:06.840,01:07.040,4
172,override,67.040,67.480,0.440,01:07.040,01:07.480,8
173,is,67.480,67.820,0.340,01:07.480,01:07.820,2
174,real.,67.820,68.140,0.320,01:07.820,01:08.140,5
175,One,68.820,69.060,0.240,01:08.820,01:09.060,3
176,"annotation,",69.060,69.660,0.600,01:09.060,01:09.660,11
177,zero,70.060,70.320,0.260,01:10.060,01:10.320,4
178,room,70.320,70.680,0.360,01:10.320,01:10.680,4
179,for,70.680,70.920,0.240,01:10.680,01:10.920,3
180,silent,70.920,71.340,0.420,01:10.920,01:11.340,6
181,failures.,71.340,71.820,0.480,01:11.340,01:11.820,9
