Word Index,Word,Start Time (s),End Time (s),Duration (s),Start Timestamp,End Timestamp,Character Count
1,When,0.000,0.360,0.360,00:00.000,00:00.360,4
2,a,0.360,0.500,0.140,00:00.360,00:00.500,1
3,spacecraft,0.500,1.120,0.620,00:00.500,00:01.120,10
4,passes,1.120,1.900,0.780,00:01.120,00:01.900,6
5,behind,1.900,2.280,0.380,00:01.900,00:02.280,6
6,the,2.280,2.480,0.200,00:02.280,00:02.480,3
7,"moon,",2.480,2.700,0.220,00:02.480,00:02.700,5
8,it,3.220,3.280,0.060,00:03.220,00:03.280,2
9,vanishes,3.280,3.920,0.640,00:03.280,00:03.920,8
10,from,3.920,4.160,0.240,00:03.920,00:04.160,4
11,Earth,4.160,4.520,0.360,00:04.160,00:04.520,5
12,"completely,",4.520,5.300,0.780,00:04.520,00:05.300,11
13,not,5.800,6.080,0.280,00:05.800,00:06.080,3
14,"gradually,",6.080,6.700,0.620,00:06.080,00:06.700,10
15,not,7.280,7.460,0.180,00:07.280,00:07.460,3
16,fading,7.460,7.940,0.480,00:07.460,00:07.940,6
17,out.,7.940,8.380,0.440,00:07.940,00:08.380,4
18,One,8.800,9.060,0.260,00:08.800,00:09.060,3
19,"second,",9.060,9.480,0.420,00:09.060,00:09.480,7
20,the,9.680,9.780,0.100,00:09.680,00:09.780,3
21,signal,9.780,10.100,0.320,00:09.780,00:10.100,6
22,is,10.100,10.280,0.180,00:10.100,00:10.280,2
23,strong,10.280,10.660,0.380,00:10.280,00:10.660,6
24,and,10.660,11.000,0.340,00:10.660,00:11.000,3
25,clear.,11.000,11.340,0.340,00:11.000,00:11.340,6
26,The,11.900,12.020,0.120,00:11.900,00:12.020,3
27,next,12.020,12.280,0.260,00:12.020,00:12.280,4
28,"second,",12.280,12.780,0.500,00:12.280,00:12.780,7
29,silence.,13.100,13.760,0.660,00:13.100,00:13.760,8
30,This,14.540,15.000,0.460,00:14.540,00:15.000,4
31,is,15.000,15.180,0.180,00:15.000,00:15.180,2
32,called,15.180,15.420,0.240,00:15.180,00:15.420,6
33,loss,15.420,15.960,0.540,00:15.420,00:15.960,4
34,of,15.960,16.240,0.280,00:15.960,00:16.240,2
35,"signal,",16.240,16.660,0.420,00:16.240,00:16.660,7
36,and,17.040,17.320,0.280,00:17.040,00:17.320,3
37,it,17.320,17.420,0.100,00:17.320,00:17.420,2
38,happens,17.420,17.800,0.380,00:17.420,00:17.800,7
39,because,17.800,18.140,0.340,00:17.800,00:18.140,7
40,the,18.140,18.320,0.180,00:18.140,00:18.320,3
41,moon,18.320,18.620,0.300,00:18.320,00:18.620,4
42,is,18.620,18.800,0.180,00:18.620,00:18.800,2
43,simply,18.800,19.260,0.460,00:18.800,00:19.260,6
44,in,19.260,19.480,0.220,00:19.260,00:19.480,2
45,the,19.480,19.600,0.120,00:19.480,00:19.600,3
46,way.,19.600,19.840,0.240,00:19.600,00:19.840,4
47,Radio,20.460,20.840,0.380,00:20.460,00:20.840,5
48,waves,20.840,21.120,0.280,00:20.840,00:21.120,5
49,travel,21.120,21.580,0.460,00:21.120,00:21.580,6
50,in,21.580,21.880,0.300,00:21.580,00:21.880,2
51,straight,21.880,22.280,0.400,00:21.880,00:22.280,8
52,lines.,22.280,22.780,0.500,00:22.280,00:22.780,6
53,They,23.180,23.360,0.180,00:23.180,00:23.360,4
54,cannot,23.360,23.660,0.300,00:23.360,00:23.660,6
55,bend,23.660,24.120,0.460,00:23.660,00:24.120,4
56,around,24.120,24.520,0.400,00:24.120,00:24.520,6
57,a,24.520,24.720,0.200,00:24.520,00:24.720,1
58,rock,24.720,24.920,0.200,00:24.720,00:24.920,4
59,that,24.920,25.200,0.280,00:24.920,00:25.200,4
60,is,25.200,25.340,0.140,00:25.200,00:25.340,2
61,3,25.340,25.620,0.280,00:25.340,00:25.620,1
62,",400",25.620,26.300,0.680,00:25.620,00:26.300,4
63,kilometers,26.300,26.800,0.500,00:26.300,00:26.800,10
64,wide.,26.800,27.280,0.480,00:26.800,00:27.280,5
65,Engineers,28.080,28.520,0.440,00:28.080,00:28.520,9
66,calculate,28.520,29.260,0.740,00:28.520,00:29.260,9
67,the,29.260,29.520,0.260,00:29.260,00:29.520,3
68,exact,29.520,30.000,0.480,00:29.520,00:30.000,5
69,second,30.000,30.620,0.620,00:30.000,00:30.620,6
70,of,30.620,30.800,0.180,00:30.620,00:30.800,2
71,blackout,30.800,31.260,0.460,00:30.800,00:31.260,8
72,before,31.260,31.760,0.500,00:31.260,00:31.760,6
73,launch.,31.760,32.340,0.580,00:31.760,00:32.340,7
74,They,32.720,32.960,0.240,00:32.720,00:32.960,4
75,know,32.960,33.200,0.240,00:32.960,00:33.200,4
76,the,33.200,33.360,0.160,00:33.200,00:33.360,3
77,spacecraft's,33.360,34.140,0.780,00:33.360,00:34.140,12
78,"speed,",34.140,34.320,0.180,00:34.140,00:34.320,6
79,its,34.840,34.960,0.120,00:34.840,00:34.960,3
80,"trajectory,",34.960,35.480,0.520,00:34.960,00:35.480,11
81,and,35.880,36.100,0.220,00:35.880,00:36.100,3
82,the,36.100,36.220,0.120,00:36.100,00:36.220,3
83,precise,36.220,36.660,0.440,00:36.220,00:36.660,7
84,curvature,36.660,37.360,0.700,00:36.660,00:37.360,9
85,of,37.360,37.620,0.260,00:37.360,00:37.620,2
86,the,37.620,37.740,0.120,00:37.620,00:37.740,3
87,moon,37.740,37.980,0.240,00:37.740,00:37.980,4
88,at,37.980,38.220,0.240,00:37.980,00:38.220,2
89,that,38.220,38.500,0.280,00:38.220,00:38.500,4
90,latitude.,38.500,39.020,0.520,00:38.500,00:39.020,9
91,The,39.440,39.720,0.280,00:39.440,00:39.720,3
92,cutoff,39.720,40.160,0.440,00:39.720,00:40.160,6
93,is,40.160,40.440,0.280,00:40.160,00:40.440,2
94,predictable,40.440,41.020,0.580,00:40.440,00:41.020,11
95,to,41.020,41.280,0.260,00:41.020,00:41.280,2
96,within,41.280,41.540,0.260,00:41.280,00:41.540,6
97,a,41.540,41.720,0.180,00:41.540,00:41.720,1
98,single,41.720,42.220,0.500,00:41.720,00:42.220,6
99,second.,42.220,42.800,0.580,00:42.220,00:42.800,7
100,During,43.480,43.860,0.380,00:43.480,00:43.860,6
101,Apollo,43.860,44.200,0.340,00:43.860,00:44.200,6
102,"8,",44.200,44.600,0.400,00:44.200,00:44.600,2
103,the,45.000,45.060,0.060,00:45.000,00:45.060,3
104,blackout,45.060,45.600,0.540,00:45.060,00:45.600,8
105,lasted,45.600,46.060,0.460,00:45.600,00:46.060,6
106,45,46.060,46.960,0.900,00:46.060,00:46.960,2
107,minutes.,46.960,47.560,0.600,00:46.960,00:47.560,8
108,For,48.160,48.360,0.200,00:48.160,00:48.360,3
109,those,48.360,48.620,0.260,00:48.360,00:48.620,5
110,45,48.620,49.420,0.800,00:48.620,00:49.420,2
111,"minutes,",49.420,49.960,0.540,00:49.420,00:49.960,8
112,mission,50.440,50.620,0.180,00:50.440,00:50.620,7
113,control,50.620,51.060,0.440,00:50.620,00:51.060,7
114,heard,51.060,51.480,0.420,00:51.060,00:51.480,5
115,nothing.,51.480,52.180,0.700,00:51.480,00:52.180,8
116,No,52.760,52.980,0.220,00:52.760,00:52.980,2
117,"signal,",52.980,53.360,0.380,00:52.980,00:53.360,7
118,no,53.840,53.980,0.140,00:53.840,00:53.980,2
119,"telemetry,",53.980,54.600,0.620,00:53.980,00:54.600,10
120,no,55.040,55.340,0.300,00:55.040,00:55.340,2
121,"confirmation,",55.340,55.940,0.600,00:55.340,00:55.940,13
122,the,55.940,56.280,0.340,00:55.940,00:56.280,3
123,engine,56.280,56.660,0.380,00:56.280,00:56.660,6
124,burn,56.660,56.980,0.320,00:56.660,00:56.980,4
125,had,56.980,57.220,0.240,00:56.980,00:57.220,3
126,worked.,57.220,57.640,0.420,00:57.220,00:57.640,7
127,The,58.200,58.280,0.080,00:58.200,00:58.280,3
128,crew,58.280,58.560,0.280,00:58.280,00:58.560,4
129,was,58.560,58.760,0.200,00:58.560,00:58.760,3
130,completely,58.760,59.280,0.520,00:58.760,00:59.280,10
131,alone,59.280,59.920,0.640,00:59.280,00:59.920,5
132,on,59.920,60.180,0.260,00:59.920,01:00.180,2
133,the,60.180,60.280,0.100,01:00.180,01:00.280,3
134,far,60.280,60.620,0.340,01:00.280,01:00.620,3
135,side,60.620,60.920,0.300,01:00.620,01:00.920,4
136,of,60.920,61.080,0.160,01:00.920,01:01.080,2
137,the,61.080,61.160,0.080,01:01.080,01:01.160,3
138,"moon,",61.160,61.480,0.320,01:01.160,01:01.480,5
139,385,62.620,63.380,0.760,01:02.620,01:03.380,3
140,",000",63.380,64.100,0.720,01:03.380,01:04.100,4
141,kilometers,64.100,64.620,0.520,01:04.100,01:04.620,10
142,from,64.620,64.860,0.240,01:04.620,01:04.860,4
143,Earth.,64.860,65.220,0.360,01:04.860,01:05.220,6
144,Everything,65.760,66.440,0.680,01:05.760,01:06.440,10
145,depended,66.440,67.060,0.620,01:06.440,01:07.060,8
146,on,67.060,67.240,0.180,01:07.060,01:07.240,2
147,a,67.240,67.360,0.120,01:07.240,01:07.360,1
148,burn,67.360,67.660,0.300,01:07.360,01:07.660,4
149,that,67.660,68.180,0.520,01:07.660,01:08.180,4
150,no,68.180,68.580,0.400,01:08.180,01:08.580,2
151,one,68.580,68.800,0.220,01:08.580,01:08.800,3
152,on,68.800,68.900,0.100,01:08.800,01:08.900,2
153,Earth,68.900,69.180,0.280,01:08.900,01:09.180,5
154,could,69.180,69.380,0.200,01:09.180,01:09.380,5
155,observe.,69.380,69.780,0.400,01:09.380,01:09.780,8
156,Then,70.580,70.720,0.140,01:10.580,01:10.720,4
157,one,70.720,71.120,0.400,01:10.720,01:11.120,3
158,crackle,71.120,71.800,0.680,01:11.120,01:11.800,7
159,came,71.800,72.120,0.320,01:11.800,01:12.120,4
160,through,72.120,72.380,0.260,01:12.120,01:12.380,7
161,the,72.380,72.540,0.160,01:12.380,01:12.540,3
162,headset.,72.540,72.940,0.400,01:12.540,01:12.940,8
163,Signal,73.540,74.020,0.480,01:13.540,01:14.020,6
164,restored.,74.020,74.660,0.640,01:14.020,01:14.660,9
165,Burn,75.460,75.680,0.220,01:15.460,01:15.680,4
166,successful.,75.680,76.300,0.620,01:15.680,01:16.300,11
167,Crew,77.060,77.420,0.360,01:17.060,01:17.420,4
168,alive.,77.420,78.160,0.740,01:17.420,01:18.160,6
169,45,79.000,79.760,0.760,01:19.000,01:19.760,2
170,minutes,79.760,80.240,0.480,01:19.760,01:20.240,7
171,of,80.240,80.500,0.260,01:20.240,01:20.500,2
172,silence,80.500,81.020,0.520,01:20.500,01:21.020,7
173,ended,81.020,81.820,0.800,01:21.020,01:21.820,5
174,in,81.820,82.040,0.220,01:21.820,01:22.040,2
175,one,82.040,82.420,0.380,01:22.040,01:22.420,3
176,second,82.420,82.940,0.520,01:22.420,01:22.940,6
177,of,82.940,83.160,0.220,01:22.940,01:23.160,2
178,static,83.160,83.560,0.400,01:23.160,01:23.560,6
179,that,83.560,84.060,0.500,01:23.560,01:24.060,4
180,confirmed,84.060,84.700,0.640,01:24.060,01:24.700,9
181,history,84.700,85.540,0.840,01:24.700,01:25.540,7
182,had,85.540,85.860,0.320,01:25.540,01:25.860,3
183,just,85.860,86.220,0.360,01:25.860,01:26.220,4
184,been,86.220,86.460,0.240,01:26.220,01:26.460,4
185,made.,86.460,86.760,0.300,01:26.460,01:26.760,5
